from_state,to_alphaR,to_alpha_prime,to_C7eq,to_PPII,to_C5,to_alphaL,to_alphaL_C7ax,to_C7ax,to_other
alphaR,0.7602996254681648,0.0299625468164794,0.15355805243445692,0.0,0.03745318352059925,0.0,0.0,0.018726591760299626,0.0
alpha_prime,0.14925373134328357,0.1044776119402985,0.746268656716418,0.0,0.0,0.0,0.0,0.0,0.0
C7eq,0.01427469135802469,0.020061728395061727,0.9398148148148148,0.015817901234567902,0.008873456790123456,0.0011574074074074073,0.0,0.0,0.0
PPII,0.0,0.0,0.21243523316062177,0.3316062176165803,0.45595854922279794,0.0,0.0,0.0,0.0
C5,0.0016032648301996793,0.0,0.003060778312199388,0.012826118641597434,0.9822183355196036,0.0,0.0,0.0002915026963999417,0.0
alphaL,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7ax,0.35294117647058826,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.5882352941176471,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
