frame_index,source,step,time_ns,rmsd_all_A,rmsd_heavy_A,rgyr_all_A,rgyr_heavy_A,dist_5_17_A
0,eq,500000,0.0,1.0016839092964152e-15,7.124051227671825e-16,2.6631078919798767,2.107466723641735,3.047058641911245
1,eq,500500,0.0005,0.9721260601458557,0.8007840423328564,2.774418746965978,2.2243656862435826,3.3577571719584025
2,eq,501000,0.001,1.72228733085974,1.2450628945139868,2.702580332362806,2.186976248746541,3.2304390475904183
3,eq,501500,0.0015,1.333251536014692,0.751573827870196,2.7144977845272975,2.1496182089029547,3.2141474855678687
4,eq,502000,0.002,1.4547850405160183,0.8791955292523951,2.6604127688483272,2.1186294065041036,2.985408564102575
5,eq,502500,0.0025,1.2089357239200278,0.4189564926752535,2.685837249294637,2.135965734501418,3.0719767668968463
6,eq,503000,0.003,1.3723574110760015,0.8486849860767472,2.719815332841745,2.183523143775602,3.175831374596737
7,eq,503500,0.0034999999999999996,1.2344655612819242,0.7726657962441986,2.771853669598786,2.2482210940403435,3.48008138401446
8,eq,504000,0.004,1.6055307090235966,1.1871974267824477,2.6854217590484697,2.182442076919662,3.2389302934485946
9,eq,504500,0.0045,1.277072403556451,0.8877283380565206,2.7820311638844353,2.2710617057145344,3.4914269124839206
10,eq,505000,0.005,1.337819819565892,0.9912025327553611,2.7293159128091076,2.218828337615078,3.2079735067986457
11,eq,505500,0.0055,1.8640245819736534,1.315431597477817,2.825817716639856,2.339451310694125,3.8296140198277158
12,eq,506000,0.006,2.608091917076926,1.9544586424196604,2.74304510244609,2.206567658586279,3.4868112379054894
13,eq,506500,0.0065,3.0319551848185875,2.2724940995984393,2.7857504653874643,2.2240827113230845,3.4843065139464984
14,eq,507000,0.006999999999999999,3.324182757955094,2.52272466642675,2.696688515312056,2.1645461961130916,2.988750811845812
15,eq,507500,0.0075,3.1568700798747273,2.379989662730806,2.699862378846023,2.167091429447129,3.2558159355386
16,eq,508000,0.008,2.947135774956463,2.231492566415266,2.7689197534211214,2.2221673245765117,3.2906961530662473
17,eq,508500,0.008499999999999999,2.7309820797669717,2.0428819084845538,2.7115200674375375,2.176236422347731,3.3465300507548115
18,eq,509000,0.009,3.0397604452692004,2.312006044228491,2.7040616385183487,2.153198197944788,3.3014476155265586
19,eq,509500,0.0095,2.920921071207269,2.1318234675304875,2.776522835890612,2.22615583990215,3.3914458955178692
20,eq,510000,0.01,2.186146672656189,1.5933590954135206,2.728628452456886,2.2117327993623923,3.1837533300381486
21,eq,510500,0.010499999999999999,2.779161740128359,2.120203482085979,2.742861384229889,2.2246301298044937,3.502523043904922
22,eq,511000,0.011,2.8015331430709915,2.0981022616723846,2.725659875816696,2.1935500217341097,3.2509038301077133
23,eq,511500,0.0115,2.6483857894270177,1.9942983889096997,2.7773866363243793,2.274780268426481,3.5439469717745493
24,eq,512000,0.012,3.0417459666018805,2.2553251985582525,2.7644471015096377,2.27627758657502,3.6353789039637947
25,eq,512500,0.012499999999999999,3.567863393253303,2.6714589033311746,2.7661073985071702,2.1844517739902547,3.3723861943829925
26,eq,513000,0.013,3.486563712131221,2.6825863154596954,2.7809495144597633,2.222709295645321,3.2207428967578275
27,eq,513500,0.0135,3.2693735824895622,2.461230544724802,2.6526201237871265,2.14124467120043,2.9959122186785194
28,eq,514000,0.013999999999999999,3.517137468678226,2.729008731594111,2.688953143488252,2.175202794950757,3.150758989135832
29,eq,514500,0.014499999999999999,3.8315951854381844,2.9435073181354636,2.777847220626906,2.2451717530795556,3.4196903098986082
30,eq,515000,0.015,3.6724002721969136,2.863743333532706,2.7237389851737555,2.207536625370018,3.397498481305474
31,eq,515500,0.0155,3.435931684392068,2.565503723020489,2.8032529628081573,2.3262637914209323,3.8486328398698935
32,eq,516000,0.016,3.7620895262360987,2.9085189491367918,2.8232592000887875,2.3253864109215012,3.983352723947755
33,eq,516500,0.0165,3.6566772681971043,2.736186307472768,2.795652227716254,2.238240773923023,3.5009689507553476
34,eq,517000,0.016999999999999998,4.063479395953992,3.0388256687276565,2.802641651268545,2.302185136695423,3.5868212678640803
35,eq,517500,0.017499999999999998,4.225942270121821,3.200767378107209,2.697496472725181,2.1858763149843408,3.3345301169629584
36,eq,518000,0.018,4.596550630574936,3.5976256680960734,2.7327956183164135,2.243038991635014,3.417441805050819
37,eq,518500,0.0185,4.252197057693339,3.3708023926705737,2.7626648751591527,2.249082607922872,3.4069457876815417
38,eq,519000,0.019,4.586108035468486,3.56387398876165,2.7067675580191706,2.1612229239856267,3.193402772957185
39,eq,519500,0.0195,4.510887315322934,3.5977727429170567,2.7857441159490306,2.2441614398630976,3.52669796183342
40,eq,520000,0.02,4.4155590974702355,3.483923504053044,2.7191566601248827,2.198989331578437,3.228454455003973
41,eq,520500,0.020499999999999997,4.469583465490855,3.53485588493427,2.787834079700194,2.277612134149016,3.6214300628348464
42,eq,521000,0.020999999999999998,4.873877900689748,3.8095991899718196,2.767200107453857,2.237292913173821,3.5787510819525084
43,eq,521500,0.0215,4.659392549780016,3.6362149367201435,2.6855073717107465,2.1469411766058166,3.4511842867249207
44,eq,522000,0.022,4.611915136941871,3.593730159589984,2.663866751015399,2.1263476742639424,3.097986677886301
