frame_index,source,step,time_ns,rmsd_all_A,rmsd_heavy_A,rgyr_all_A,rgyr_heavy_A,dist_5_17_A
34,eq,517000,0.016999999999999998,3.914743180045038,3.1031196979339963,2.7332535788080947,2.2142871618630564,3.266208162370243
35,eq,517500,0.017499999999999998,3.9238169842151485,3.1052492914929184,2.7393086588112516,2.187454586321467,3.037090691715282
36,eq,518000,0.018,3.5524820086597497,2.8006163564701696,2.742143835653525,2.2323235341726035,3.3904614662423005
37,eq,518500,0.0185,3.6574560081893255,2.9222179412688436,2.7810429703355672,2.3013955120416063,3.626918186287684
38,eq,519000,0.019,3.4097859065915257,2.7490344246087752,2.739133057478313,2.275582821866469,3.548971555357552
39,eq,519500,0.0195,3.7243080355760836,2.9981475313499337,2.7568421981348656,2.207558618088468,3.278233477437048
40,eq,520000,0.02,3.58247958088407,2.8366731926009083,2.7080074545212143,2.150736329933447,3.141781012202633
41,eq,520500,0.020499999999999997,3.7567887549671215,2.9910007200485875,2.7391091044069147,2.176642069107972,3.1470525526638418
42,eq,521000,0.020999999999999998,3.5666226506966328,2.8587842381008275,2.7016168112706853,2.1640722670670374,3.3446588797150896
43,eq,521500,0.0215,3.5795089805939786,2.8454891962195155,2.714406162117382,2.2209826739553704,3.476923680686713
44,eq,522000,0.022,3.67834125236906,2.8857687644968797,2.7404146586713436,2.187058255782349,3.5304173574852307
45,eq,522500,0.0225,3.3008717536530656,2.670630029676074,2.7139516383174005,2.184191462332588,3.3105103844923685
46,eq,523000,0.023,3.135151573733735,2.457161271098796,2.6856314973411486,2.1954078848062473,3.1538386958027025
47,eq,523500,0.0235,3.839234942861685,3.109463011601515,2.78305135200207,2.22643853668413,3.284521280307527
48,eq,524000,0.024,3.8189886740606105,3.1415060748745347,2.7248567252721476,2.207786590633175,3.245381294083523
49,eq,524500,0.024499999999999997,3.4486300550838505,2.7734499043564464,2.74824082504716,2.244268319827023,3.291641522478868
50,eq,525000,0.024999999999999998,3.9856239742324684,3.320033641695922,2.7581490609079315,2.2290304848991696,3.6165772547447403
51,eq,525500,0.0255,4.136210587846915,3.3548444677278395,2.722277909521015,2.180018565281365,3.1983696492003792
52,eq,526000,0.026,3.9710949823140376,3.2274350423048705,2.752127120268763,2.2092910443404303,3.2333752560521027
53,eq,526500,0.0265,4.0064064873502545,3.2289277363349695,2.730759849822709,2.2086732192689866,3.258545019250923
54,eq,527000,0.027,3.852586832730025,3.117999741975205,2.727947709947836,2.203024483200718,3.2144212250047444
55,eq,527500,0.0275,3.882669078580992,3.0705160112219914,2.776200338064708,2.2407011524409115,3.470047458782228
56,eq,528000,0.027999999999999997,3.954752742541066,3.1618115173411043,2.6952761781818313,2.1647811303123556,3.1252888609461364
57,eq,528500,0.028499999999999998,3.449508096687636,2.7729294674210823,2.690768100156416,2.1849571314639733,3.323798028624784
58,eq,529000,0.028999999999999998,2.9391796087333693,2.299464037970715,2.7765701488059946,2.27415799368356,3.6038548125274747
59,eq,529500,0.0295,2.4812896693373254,1.8519468871569953,2.7415416975796534,2.1991135284772656,3.2596341467364094
60,eq,530000,0.03,2.547728280722912,1.9282038068280039,2.703264996863141,2.212728512226488,3.3407970036225803
61,eq,530500,0.0305,2.697599434163587,2.1034453080818634,2.8054784822204186,2.2797256938594757,3.5714105426047
62,eq,531000,0.031,2.782619024912529,2.0905266752964655,2.7436738801584184,2.205270485244574,3.2468488046579873
63,eq,531500,0.0315,3.00112192082486,2.389317383622645,2.69739566687165,2.1876146729340666,3.2462369682005563
64,eq,532000,0.032,2.5763168579432785,2.0319988243319878,2.746573373489904,2.206538198095066,3.183681412058074
65,eq,532500,0.0325,2.6778509432377886,2.1149941875308778,2.7471662273481567,2.185952993806886,3.1811491651679393
66,eq,533000,0.033,2.863629954897214,2.2193008617625285,2.679967975756741,2.1344101340954085,3.066287942414411
67,eq,533500,0.033499999999999995,3.1410936614890077,2.464564254332373,2.7441373147562667,2.230967549118792,3.4740743863153263
68,eq,534000,0.033999999999999996,2.8453817096195926,2.2011169176381777,2.6882676157524736,2.167401912600532,3.0547110087536926
69,eq,534500,0.034499999999999996,2.756929613904571,2.2160222195145924,2.7191254795299686,2.208082363567219,3.309025176402911
70,eq,535000,0.034999999999999996,2.8315343457641005,2.226691189049644,2.782492104175547,2.220149118982587,3.4343108552549295
71,eq,535500,0.0355,2.412321107993451,1.9267853420945475,2.746419902500246,2.2057247256196524,3.2565010098319163
72,eq,536000,0.036,2.3398300820362548,1.8132688732412898,2.7676813186976434,2.2458539989192756,3.3375499211130912
73,eq,536500,0.0365,2.649368089974511,2.0290666669121236,2.734786340999315,2.1781935018355782,3.107752012814086
74,eq,537000,0.037,2.7265471459809283,2.077120700569419,2.702081787200819,2.1898786931063805,3.275375355035511
75,eq,537500,0.0375,2.3671928164206255,1.7215292962999196,2.695131053265,2.138714104399903,3.2228324171893727
76,eq,538000,0.038,3.0446047256076763,2.254193106978917,2.6943450257880146,2.1362537153974155,3.207740747453572
77,eq,538500,0.0385,3.145295010335458,2.385906742684512,2.682132597811117,2.147038721223633,3.158435012474058
78,eq,539000,0.039,3.0702560600252724,2.3642381881837116,2.721451814227639,2.1776485628115685,3.3839892191982535
79,eq,539500,0.0395,2.853523436503422,2.1651964793395524,2.675116650659456,2.1280898345936192,3.039807539147997
80,eq,540000,0.04,3.481285045302228,2.737990301754436,2.7240325308272557,2.2572641867202776,3.3933682367479205
81,eq,540500,0.0405,3.8340402696630247,2.92095829529026,2.7297724370345264,2.2060115839783667,3.1250290644395617
82,eq,541000,0.040999999999999995,3.848304356833374,2.9803574233343206,2.784004300890867,2.2574777414939993,3.479093963370155
83,eq,541500,0.041499999999999995,4.023686080489114,3.1233424160451912,2.7988371507842467,2.314726214824514,3.5222531986792203
84,eq,542000,0.041999999999999996,4.110039407397871,3.1969031888849444,2.7960699161939333,2.304098225431865,3.5978561919650156
85,eq,542500,0.042499999999999996,4.0694676739555975,3.13018258557618,2.8009347998734198,2.322226575422476,3.7717484055970703
86,eq,543000,0.043,4.158687344182365,3.2152140402271057,2.808817117530208,2.303102174655343,3.6544872786912257
87,eq,543500,0.0435,3.790318003840241,2.897171340588148,2.6910163410189716,2.1818482196739692,3.1611170826279125
88,eq,544000,0.044,3.94124809066309,3.0305116635847473,2.750348711385773,2.2875744142351304,3.64643854144287
89,eq,544500,0.0445,3.8053276521041832,2.905885563411455,2.700109160935965,2.191258872703012,3.125998887280033
90,eq,545000,0.045,4.093396095916686,3.1677803313643045,2.7403299408019675,2.2405852631838146,3.3067268976496984
91,eq,545500,0.0455,3.822461733905462,3.023200975873574,2.7806000630496124,2.2693712807571416,3.5339106049533857
92,eq,546000,0.046,3.7123445992879067,2.9181645876128757,2.780532097854436,2.297192239306666,3.6431682863580432
93,eq,546500,0.0465,3.843234423986265,3.032314557840696,2.768380426930029,2.2737998436789395,3.545375316967569
94,eq,547000,0.047,3.668962162096598,2.8683440851884585,2.739126846507194,2.2573206655863407,3.5144764840263547
95,eq,547500,0.0475,3.9849669999916757,3.189797205249967,2.793047307436838,2.2606092519690444,3.5629283051860585
96,eq,548000,0.048,3.7962219372578434,3.0760314853590662,2.7734499850409526,2.3133210385318006,3.810784509894277
97,eq,548500,0.048499999999999995,4.322604573665642,3.465661256544301,2.839176500784605,2.3405906465932524,3.8641815257988337
98,eq,549000,0.048999999999999995,3.9869527296743428,3.2459319204378807,2.856439726446555,2.373917495234964,4.031769059929618
99,eq,549500,0.049499999999999995,4.227214034368231,3.385071951641222,2.727364244263117,2.22614736791945,3.342777544524463
100,eq,550000,0.049999999999999996,4.230081221697462,3.4513337695029187,2.778651093618358,2.3178304486482326,3.741872522345597
101,eq,550500,0.050499999999999996,4.093619354632462,3.3068294258179622,2.73341393603108,2.2154841227316053,3.539291866086774
102,eq,551000,0.051,4.328442357956603,3.465780499645137,2.7252287461518327,2.2232727980447233,3.378364183692411
103,eq,551500,0.0515,4.255399595221284,3.3916934639805807,2.7556789099932866,2.2468893332630775,3.4104865399348814
104,eq,552000,0.052,4.2061922386019175,3.3900574745424694,2.7247197242976795,2.2324171026277435,3.383323287350028
105,eq,552500,0.0525,4.539080373031405,3.671075172501444,2.8234242973467882,2.317708539667954,3.617374163034354
106,eq,553000,0.053,4.486712546602703,3.5552188904370827,2.759453362116648,2.2085281041551927,3.134836378076853
107,eq,553500,0.0535,4.32846311604985,3.373187293108762,2.730809820010403,2.1727725706140215,3.241794072708236
108,eq,554000,0.054,4.4256491656100705,3.4446849354584947,2.7532753699830352,2.224398783574878,3.218646257386636
109,eq,554500,0.0545,4.519901762569372,3.527498304333239,2.770274298508801,2.192654294657026,3.106918496653074
110,eq,555000,0.055,4.540890111238059,3.625987940147236,2.707185106959555,2.19317616389967,3.1455312440445238
111,eq,555500,0.0555,4.47145635512901,3.494885950864807,2.772141802410021,2.227700824400801,3.410514706698976
112,eq,556000,0.055999999999999994,4.501791944301567,3.575153285266952,2.7353293654863053,2.1908018817027135,3.2812767720728773
113,eq,556500,0.056499999999999995,4.554236646204681,3.657887097237114,2.7457052879149764,2.2154952803968433,3.4773238318840827
114,eq,557000,0.056999999999999995,4.5687417534746055,3.634958348658934,2.7473335538028154,2.187214842265773,3.461019973463459
115,eq,557500,0.057499999999999996,4.552076783636706,3.6424883920571514,2.6719547041787526,2.135758020308881,3.0974291570954455
116,eq,558000,0.057999999999999996,4.585425008291121,3.65989401885274,2.6874437374815567,2.1195607768208737,3.2347829976361258
117,eq,558500,0.058499999999999996,4.632039343422698,3.738072427164132,2.800499162548838,2.2989632434509057,3.610909540825552
118,eq,559000,0.059,4.452081475359181,3.569493172613551,2.793745477094989,2.3022755249552196,3.671258682694669
119,eq,559500,0.0595,4.4991282660149725,3.5845186080808547,2.740893530606386,2.269083718623198,3.5098506235367055
120,eq,560000,0.06,4.489174922155185,3.6276074831172602,2.763703365812514,2.2863538777465022,3.701271744938623
121,eq,560500,0.0605,4.494229377921278,3.6203803580215426,2.735312631256213,2.2290011222057,3.4688816914909335
122,eq,561000,0.061,4.497132936362757,3.6283781001446354,2.758794899665673,2.297702712453968,3.8401788073963434
123,eq,561500,0.0615,4.413183409010827,3.540892760677653,2.7690923323954646,2.2511667132645043,3.818961452450129
124,eq,562000,0.062,4.346333331704757,3.45966801918866,2.700966602921184,2.1963048761443593,3.4425633981764228
125,eq,562500,0.0625,4.422677443083668,3.4982305967210543,2.703507600548018,2.171809182845526,3.2091591025172
126,eq,563000,0.063,4.582691715703002,3.666067690503105,2.75198062103218,2.2476230446644174,3.605460939540047
127,eq,563500,0.0635,4.538196216826779,3.66440389817054,2.771360857271941,2.2476594975693294,3.378897450830522
128,eq,564000,0.064,4.39067667588412,3.4881062132588796,2.723917133343349,2.2224541975621177,3.3254550088344303
129,eq,564500,0.0645,4.465848321467018,3.5513910355692273,2.769191571191562,2.2408132460574532,3.4592520526807524
130,eq,565000,0.065,4.348119028610577,3.4439488649658565,2.7324723875764643,2.1922457966135354,3.1804988225775213
131,eq,565500,0.0655,4.43134391336009,3.5434019620968633,2.7736639642374863,2.240930279891459,3.4517382181445915
132,eq,566000,0.066,4.392089757709229,3.4693193926905885,2.7615613811849657,2.2125459852838167,3.38537635204714
133,eq,566500,0.0665,4.172809350503419,3.3343866945547425,2.7563201366313383,2.218667954740008,3.4389510770758283
134,eq,567000,0.06699999999999999,3.873887171042058,3.0777093463410057,2.6684212196458663,2.103094886427523,2.9703539161638632
135,eq,567500,0.06749999999999999,3.860826353002531,3.0780713401914364,2.7188068448599556,2.2214556411615556,3.2267835739863306
136,eq,568000,0.06799999999999999,3.9187802749909784,3.0251903171429544,2.800620900145384,2.261101383904561,3.350038287537323
137,eq,568500,0.06849999999999999,3.8547939676481633,2.979531221610767,2.7394539692155804,2.18621768771302,3.170833593572201
138,eq,569000,0.06899999999999999,4.220093314303241,3.4047872984011986,2.7633510468485256,2.251471640877833,3.6187797192756843
139,eq,569500,0.06949999999999999,3.8377991068278337,3.023927838747849,2.701266101201753,2.172285966537808,3.1727185601022034
140,eq,570000,0.06999999999999999,4.302175688116418,3.409982021956656,2.7692040457592015,2.2482260315635494,3.5163188565364774
141,eq,570500,0.0705,4.243104746153432,3.3690967504763782,2.7786069187789124,2.243570023617565,3.585384696093278
142,eq,571000,0.071,4.238587251835395,3.3813291001226773,2.7711063951463646,2.2251162516490863,3.490108932749378
143,eq,571500,0.0715,4.328684409578588,3.4785087512475377,2.736200171307208,2.1978497363345526,3.37192196834476
144,eq,572000,0.072,4.264743936049772,3.396282222453746,2.754139182445752,2.1915105431382824,3.6346749291358917
145,eq,572500,0.0725,4.259564224812309,3.4714242183586554,2.781537059333581,2.237192156120547,3.9344300098282345
146,eq,573000,0.073,4.342504697327293,3.4797215314309993,2.8441087800912457,2.2609409683778834,4.081262208118097
147,eq,573500,0.0735,4.418374371928138,3.5530955447701107,2.82707084727417,2.265148915009333,3.9597048593461963
148,eq,574000,0.074,4.372035623338932,3.5734446717613464,2.835401702232691,2.2965109237324803,4.13395667840206
149,eq,574500,0.0745,4.468368792764209,3.63415787966914,2.8381080326208297,2.3115432454623326,4.109830226864
150,eq,575000,0.075,4.36891225765987,3.4738940049664433,2.8143043344080265,2.259264586416151,3.858453851826791
151,eq,575500,0.0755,4.383004513438071,3.4987280978084683,2.772716683944879,2.233464967717639,3.4670099033202946
152,eq,576000,0.076,4.4738825686372,3.59908726469566,2.7808292733900095,2.250442035664911,3.6340364640489518
153,eq,576500,0.0765,4.240114033446724,3.4688224963155263,2.7731774830262066,2.245471520682802,3.651106670593041
154,eq,577000,0.077,4.107196279826272,3.299675083597296,2.733220552111488,2.2112724997879143,3.8755565903377027
155,eq,577500,0.0775,3.8132702291811014,3.0873645406881,2.790807150382698,2.2837373016642655,3.9758905578508266
156,eq,578000,0.078,3.679057837838364,2.9055583489694,2.8200367537661015,2.2758780950171738,4.038059121869069
157,eq,578500,0.0785,3.826158884708296,3.1261379088039556,2.779396861794997,2.2496577107769613,3.7672042895245488
158,eq,579000,0.079,3.9945446926256354,3.2477644988966907,2.770285596365525,2.253198780286127,3.747068429629355
159,eq,579500,0.0795,3.8720536199329936,3.156934069526208,2.724036046771293,2.1885362655990193,3.3459672421020503
160,eq,580000,0.08,3.8088970168791545,3.058019533763065,2.6963038947902445,2.146640672967084,3.2143111303644827
161,eq,580500,0.0805,3.815394384662871,3.025059317838205,2.7183779878062273,2.163409589148827,3.332685114375194
162,eq,581000,0.081,3.8842348162141374,2.992672144900535,2.727110844588504,2.16003564178196,3.038459489389483
163,eq,581500,0.0815,4.013127311107023,3.159633274584244,2.644120054579572,2.1087092934276863,3.0676674537545625
164,eq,582000,0.08199999999999999,4.142589900091153,3.290746665760338,2.797559239486983,2.241389372512168,3.6865387550388307
165,eq,582500,0.08249999999999999,4.012065626186529,3.2454627729943635,2.7372462156588733,2.200334320757857,3.5375331888478287
166,eq,583000,0.08299999999999999,3.869763213756545,3.1345959887395063,2.738273166339918,2.1875643858231757,3.4569777780995192
167,eq,583500,0.08349999999999999,3.753176434283359,3.003424451689991,2.7283952878818494,2.15958611017662,3.4189424883191593
168,eq,584000,0.08399999999999999,4.013407477076653,3.192995661569869,2.797169095691406,2.2223629109371377,3.517596337945616
169,eq,584500,0.08449999999999999,3.7817393155526235,2.963191798366176,2.692279091870616,2.1069727776800056,3.2899281247526075
170,eq,585000,0.08499999999999999,3.7944106792900354,2.9987037759711064,2.689178839758129,2.13836658235254,3.178234522916929
171,eq,585500,0.08549999999999999,3.7741874383845495,2.977475990786807,2.6641645695762906,2.123715646968074,3.08696200107421
172,eq,586000,0.086,3.5350851276929323,2.7520454264278267,2.734876769265269,2.19256880409438,3.2145361441310625
173,eq,586500,0.0865,3.381243519295951,2.6575700692760895,2.726534400588002,2.1858153877654813,3.438560770992713
174,eq,587000,0.087,4.070672218157552,3.2170493403459712,2.7626562404685138,2.2662082719978933,3.5577255134035295
175,eq,587500,0.0875,4.004181095607512,3.1497807011352026,2.7900664971537936,2.2733268311028216,3.6288911617740216
176,eq,588000,0.088,3.666538102536169,2.8419681103530734,2.706982847433599,2.2222257352092023,3.2477302984982064
177,eq,588500,0.0885,3.46662579421044,2.7808373417364094,2.7727608619851467,2.293977270978427,3.665401569553601
178,eq,589000,0.089,3.890568166744909,3.0963778116062994,2.7466097055453393,2.2501045965810165,3.3799711439561446
179,eq,589500,0.0895,3.5700113776674627,2.829092471580076,2.7654816019402544,2.2692642047701512,3.7274325556976398
180,eq,590000,0.09,3.4549355398195085,2.6875683401615604,2.7014266092105426,2.1275108295890255,3.019894041636951
181,eq,590500,0.0905,3.6961347625211336,2.8783042730869375,2.703262568456351,2.1327887509780163,3.2024659576807695
182,eq,591000,0.091,3.6288091102803217,2.853391826922169,2.704385617824722,2.1670749225927053,3.2442844649019356
183,eq,591500,0.0915,3.5394360255000903,2.9120516496917435,2.761477562165843,2.2205288861171613,3.5545774468839038
184,eq,592000,0.092,3.115266059924903,2.485247222463019,2.7180228257884282,2.1945351150021724,3.4482031606503774
185,eq,592500,0.0925,3.5889216771269554,2.8472010118316646,2.761913964123916,2.2282769804902665,3.341309896487005
186,eq,593000,0.093,3.297150908946039,2.681986432371055,2.7458243074733657,2.229550101047281,3.4195769593866436
187,eq,593500,0.0935,2.783144962234569,2.2225085836287195,2.753315494566281,2.2313180356629805,3.648514686637975
188,eq,594000,0.094,2.826067988911744,2.2304573065804503,2.685351106406362,2.137740895298702,2.981908795290709
189,eq,594500,0.0945,2.9890486968940446,2.3403682295636328,2.7237994518795396,2.188082986930555,3.1746596958908837
190,eq,595000,0.095,2.9059840188504094,2.3026459413915354,2.7344938895722244,2.2193129870055057,3.2512831526043686
191,eq,595500,0.0955,2.831680754632668,2.1858328743752797,2.724491583220527,2.228480998287375,3.354359536129811
192,eq,596000,0.096,2.681085809991292,2.09467563271569,2.717283035559547,2.210241379112743,3.252524400685211
193,eq,596500,0.0965,3.2018143377447164,2.553307820244687,2.743758294644088,2.210128515047501,3.2838543898036585
194,eq,597000,0.09699999999999999,3.6341915979605957,2.958774270600838,2.7425059349172507,2.2539350493281263,3.4216432657853155
195,eq,597500,0.09749999999999999,3.679059139027671,2.9577074641975285,2.7400153128518623,2.213885262067833,3.5620616639981124
196,eq,598000,0.09799999999999999,3.513944848133764,2.8062053457792095,2.7080784921674588,2.1815597505595616,3.346332991243101
197,eq,598500,0.09849999999999999,3.3969447368064873,2.722794989425886,2.706794192886541,2.2093635848412863,3.4606111954889194
198,eq,599000,0.09899999999999999,3.5486588688700795,2.8915362718621074,2.8186240986209725,2.2890500167839396,3.722730719415823
199,eq,599500,0.09949999999999999,3.498830697175595,2.7322985336392307,2.7061810378450204,2.214170519644486,3.4834164104610017
200,eq,600000,0.09999999999999999,3.820530513301361,3.016778909476265,2.7743856665142026,2.2530502349810733,3.5062229718678206
201,eq,600500,0.10049999999999999,3.8255175418567275,3.080368408022123,2.8180445733428123,2.32289905249488,3.76089865390566
202,eq,601000,0.10099999999999999,3.6154610835664904,2.8201678654854927,2.7454358796626415,2.2310124198923416,3.461584753344774
203,eq,601500,0.10149999999999999,3.419399792100999,2.6883142081861218,2.7338680791738086,2.2468035173170198,3.549648411762072
204,eq,602000,0.102,3.4747300600141355,2.801758966621673,2.666625927318464,2.2238940476596776,3.4801616538074436
205,eq,602500,0.1025,3.985354411390261,3.2982495126592575,2.8093770362550945,2.342823885921072,3.929511404275727
206,eq,603000,0.103,3.336440950393541,2.6352616930665524,2.798001635823135,2.324521032785629,3.798519245096568
207,eq,603500,0.1035,3.1504043858380304,2.4075315967732136,2.64896016213034,2.1531671720860235,3.1403870368263544
208,eq,604000,0.104,2.716903451254492,2.1421484610377455,2.7473693772871495,2.248397215689504,3.6812232901530115
209,eq,604500,0.1045,2.6211985064511145,1.9824305865668244,2.734407856192056,2.1997672759192644,3.326478484192118
210,eq,605000,0.105,3.2405774211366487,2.5765880086437907,2.740761228068246,2.184783590121004,3.173978634811205
211,eq,605500,0.1055,2.9165613248921343,2.338314675880207,2.7286302339921744,2.214314874875787,3.4704838163139446
212,eq,606000,0.106,3.4237120541079604,2.773643210570325,2.74373975754086,2.174408231594456,3.4007973037758368
213,eq,606500,0.1065,3.247069019539748,2.640666028140433,2.7756400301273283,2.278800107351262,3.707066615314189
214,eq,607000,0.107,3.047110862307925,2.451516253696463,2.7373070686782834,2.1761138904022053,3.3121897524062534
215,eq,607500,0.1075,3.154078917693798,2.488931301231972,2.7248291450741307,2.178719597721788,3.171936561544855
216,eq,608000,0.108,3.316139963330861,2.658347819202794,2.762383284137058,2.2445744313054146,3.4695966405318646
217,eq,608500,0.1085,3.362011021012908,2.7499816129093237,2.785045459183919,2.2080167356930347,3.405410577191684
218,eq,609000,0.109,3.221968815998278,2.6084831622018703,2.7476853212042105,2.2064838179436257,3.3175610991518694
219,eq,609500,0.1095,3.4824392710548735,2.8134724358293597,2.7100791776553144,2.1932965738436265,3.322087915180602
220,eq,610000,0.11,3.6488896409162512,2.9076694064576687,2.7765495781837943,2.2362535320894072,3.3620543568270875
221,eq,610500,0.1105,3.6242257714810506,2.8286236045337745,2.7224841735907326,2.1442839267374407,3.0632518081610596
222,eq,611000,0.111,3.4071915870671066,2.662181013910736,2.6707555716351545,2.1300980662990634,3.0896011360610935
