lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,751,774,eq,875500,0.3755,eq,887500,0.38749999999999996,C7eq,alpha_prime,24,12.0
npbc,775,775,eq,887500,0.38749999999999996,eq,888000,0.38799999999999996,alpha_prime,C7eq,1,0.5
npbc,776,789,eq,888000,0.38799999999999996,eq,895000,0.39499999999999996,C7eq,alpha_prime,14,7.0
npbc,790,790,eq,895000,0.39499999999999996,eq,895500,0.39549999999999996,alpha_prime,C7eq,1,0.5
npbc,791,808,eq,895500,0.39549999999999996,eq,904500,0.40449999999999997,C7eq,alpha_prime,18,9.0
npbc,809,809,eq,904500,0.40449999999999997,eq,905000,0.40499999999999997,alpha_prime,C7eq,1,0.5
npbc,810,827,eq,905000,0.40499999999999997,eq,914000,0.414,C7eq,alpha_prime,18,9.0
npbc,828,828,eq,914000,0.414,eq,914500,0.4145,alpha_prime,C7eq,1,0.5
npbc,829,829,eq,914500,0.4145,eq,915000,0.415,C7eq,alpha_prime,1,0.5
npbc,830,830,eq,915000,0.415,eq,915500,0.4155,alpha_prime,C7eq,1,0.5
npbc,831,836,eq,915500,0.4155,eq,918500,0.4185,C7eq,alpha_prime,6,3.0
npbc,837,837,eq,918500,0.4185,eq,919000,0.419,alpha_prime,alphaR,1,0.5
npbc,838,838,eq,919000,0.419,eq,919500,0.4195,alphaR,C7eq,1,0.5
npbc,839,839,eq,919500,0.4195,eq,920000,0.42,C7eq,alphaR,1,0.5
npbc,840,840,eq,920000,0.42,eq,920500,0.4205,alphaR,C7eq,1,0.5
npbc,841,843,eq,920500,0.4205,eq,922000,0.422,C7eq,alphaR,3,1.5
npbc,844,844,eq,922000,0.422,eq,922500,0.4225,alphaR,C7eq,1,0.5
npbc,845,845,eq,922500,0.4225,eq,923000,0.423,C7eq,C5,1,0.5
npbc,846,1157,eq,923000,0.423,prod,1079000,0.578501,C5,C7ax,312,156.0
npbc,1158,1158,prod,1079000,0.578501,prod,1079500,0.579001,C7ax,C5,1,0.5
npbc,1159,1267,prod,1079500,0.579001,prod,1134000,0.6335010000000001,C5,PPII,109,54.5
