basin,pbc_raw,pbc_sem,npbc_raw,npbc_sem,npbc_bal_mean,npbc_bal_std,npbc_bal_ci_lo,npbc_bal_ci_hi,pbc_bal_mean,pbc_bal_ci_lo,pbc_bal_ci_hi,delta_bal_npbc_minus_pbc,delta_bal_ci_lo,delta_bal_ci_hi,delta_significant_95
alphaR,0.01108348870934328,0.0039945680658549825,0.008918032786885246,0.014375351084744933,0.009366530938934303,0.00428118137191313,0.0021372805275943884,0.01892263706846741,0.011168289816915165,0.004092731355184548,0.019205261979368678,-0.0018017588779808622,-0.011643051230832738,0.009469024422749895,0
alpha_prime,0.0053863683447275745,0.0017868221983802569,0.003147540983606557,0.0014976728877692093,0.0030401431431272856,0.0013056894346637105,0.0011453852777598172,0.006236802880567882,0.005443786280088575,0.002644991319425008,0.008659944464852949,-0.002403643136961289,-0.0064382016865919016,0.001404133257524176,0
C7eq,0.2567847524342242,0.10043959518823962,0.1721967213114754,0.0443990783834296,0.16840211321598184,0.039968154204534256,0.0942605257283179,0.25220979165219415,0.25999979759466335,0.10657678546254053,0.4219311536512951,-0.09159768437868152,-0.2668189595467644,0.07116315145948796,0
PPII,0.01812720116014088,0.00421317371637833,0.021114754098360652,0.0036903679887997994,0.020960950110699123,0.0030577686007029325,0.01545213738377475,0.027274260096746113,0.01809454895663236,0.011872502620762997,0.025416203187964947,0.002866401154066764,-0.006064539538983389,0.012049284434670555,0
C5,0.7074787652786412,0.10177385429585707,0.7925245901639344,0.08973008496630287,0.796197187887839,0.043429792957979114,0.7010731859914087,0.8746534768991623,0.7041247861434292,0.5398338141750245,0.8585917375625293,0.09207240174440978,-0.07894848848360982,0.27071205402084925,0
alphaL,0.00010358400662937644,0.00010515247108307043,0.00013114754098360654,0.00010141987829614603,0.00012823221109357541,0.0001165650177841516,0.0,0.00040140762792296243,0.00011073127586019823,0.0,0.0003150937798709443,1.7500935233377184e-05,-0.00030552212177938185,0.00029791172761172205,0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C7ax,0.0010358400662937644,0.000748994571535916,0.0019672131147540984,0.0011596372619383907,0.0019048424923249988,0.0014652121529301297,0.0,0.005054561205292534,0.0010580599324110632,0.00010230179028132993,0.0025810660376546584,0.0008467825599139357,-0.0016689420334575805,0.004302666207726098,0
