lane,block,nframes,jsd_to_full,overlap_to_full
npbc,early,3333,0.08948804564601893,0.7609472476094724
npbc,mid,3334,0.10050925040570839,0.6271984379246538
npbc,late,3334,0.09123218151152875,0.7401099422151366
pbc,early,3333,0.047467567333014105,0.7914597979145981
pbc,mid,3334,0.05761601758242285,0.7093953472079307
pbc,late,3334,0.032953653724047405,0.8458885065302708
