lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,1300,1300,prod,1150000,0.649501,prod,1150500,0.650001,alpha_prime,C7eq,1,0.5
npbc,1301,1303,prod,1150500,0.650001,prod,1152000,0.651501,C7eq,C5,3,1.5
npbc,1304,1304,prod,1152000,0.651501,prod,1152500,0.652001,C5,PPII,1,0.5
npbc,1305,1306,prod,1152500,0.652001,prod,1153500,0.653001,PPII,C7eq,2,1.0
npbc,1307,1307,prod,1153500,0.653001,prod,1154000,0.653501,C7eq,alpha_prime,1,0.5
npbc,1308,1308,prod,1154000,0.653501,prod,1154500,0.654001,alpha_prime,PPII,1,0.5
npbc,1309,1310,prod,1154500,0.654001,prod,1155500,0.655001,PPII,C7eq,2,1.0
npbc,1311,1311,prod,1155500,0.655001,prod,1156000,0.655501,C7eq,alpha_prime,1,0.5
npbc,1312,1320,prod,1156000,0.655501,prod,1160500,0.6600010000000001,alpha_prime,C7eq,9,4.5
npbc,1321,1321,prod,1160500,0.6600010000000001,prod,1161000,0.660501,C7eq,alpha_prime,1,0.5
npbc,1322,1340,prod,1161000,0.660501,prod,1170500,0.6700010000000001,alpha_prime,C7eq,19,9.5
npbc,1341,1341,prod,1170500,0.6700010000000001,prod,1171000,0.670501,C7eq,alpha_prime,1,0.5
npbc,1342,1352,prod,1171000,0.670501,prod,1176500,0.6760010000000001,alpha_prime,C7eq,11,5.5
npbc,1353,1355,prod,1176500,0.6760010000000001,prod,1178000,0.677501,C7eq,alpha_prime,3,1.5
npbc,1356,1356,prod,1178000,0.677501,prod,1178500,0.6780010000000001,alpha_prime,C7eq,1,0.5
npbc,1357,1357,prod,1178500,0.6780010000000001,prod,1179000,0.678501,C7eq,alpha_prime,1,0.5
npbc,1358,1374,prod,1179000,0.678501,prod,1187500,0.687001,alpha_prime,C7eq,17,8.5
npbc,1375,1382,prod,1187500,0.687001,prod,1191500,0.691001,C7eq,alpha_prime,8,4.0
npbc,1383,1383,prod,1191500,0.691001,prod,1192000,0.691501,alpha_prime,C7eq,1,0.5
npbc,1384,1384,prod,1192000,0.691501,prod,1192500,0.6920010000000001,C7eq,alpha_prime,1,0.5
npbc,1385,1420,prod,1192500,0.6920010000000001,prod,1210500,0.710001,alpha_prime,C7eq,36,18.0
npbc,1421,1421,prod,1210500,0.710001,prod,1211000,0.710501,C7eq,alpha_prime,1,0.5
npbc,1422,1422,prod,1211000,0.710501,prod,1211500,0.711001,alpha_prime,C7eq,1,0.5
npbc,1423,1435,prod,1211500,0.711001,prod,1218000,0.717501,C7eq,alpha_prime,13,6.5
npbc,1436,1436,prod,1218000,0.717501,prod,1218500,0.718001,alpha_prime,C7eq,1,0.5
npbc,1437,1437,prod,1218500,0.718001,prod,1219000,0.7185010000000001,C7eq,alpha_prime,1,0.5
npbc,1438,1438,prod,1219000,0.7185010000000001,prod,1219500,0.719001,alpha_prime,C7eq,1,0.5
npbc,1439,1440,prod,1219500,0.719001,prod,1220500,0.720001,C7eq,alpha_prime,2,1.0
npbc,1441,1442,prod,1220500,0.720001,prod,1221500,0.721001,alpha_prime,C7eq,2,1.0
npbc,1443,1447,prod,1221500,0.721001,prod,1224000,0.723501,C7eq,alpha_prime,5,2.5
npbc,1448,1449,prod,1224000,0.723501,prod,1225000,0.7245010000000001,alpha_prime,C7eq,2,1.0
npbc,1450,1450,prod,1225000,0.7245010000000001,prod,1225500,0.725001,C7eq,alpha_prime,1,0.5
npbc,1451,1451,prod,1225500,0.725001,prod,1226000,0.725501,alpha_prime,C7eq,1,0.5
npbc,1452,1452,prod,1226000,0.725501,prod,1226500,0.726001,C7eq,alpha_prime,1,0.5
npbc,1453,1454,prod,1226500,0.726001,prod,1227500,0.727001,alpha_prime,C7eq,2,1.0
npbc,1455,1455,prod,1227500,0.727001,prod,1228000,0.727501,C7eq,alpha_prime,1,0.5
npbc,1456,1457,prod,1228000,0.727501,prod,1229000,0.7285010000000001,alpha_prime,C7eq,2,1.0
npbc,1458,1458,prod,1229000,0.7285010000000001,prod,1229500,0.729001,C7eq,alpha_prime,1,0.5
npbc,1459,1459,prod,1229500,0.729001,prod,1230000,0.729501,alpha_prime,C7eq,1,0.5
npbc,1460,1461,prod,1230000,0.729501,prod,1231000,0.7305010000000001,C7eq,alpha_prime,2,1.0
npbc,1462,1464,prod,1231000,0.7305010000000001,prod,1232500,0.732001,alpha_prime,C7eq,3,1.5
npbc,1465,1465,prod,1232500,0.732001,prod,1233000,0.7325010000000001,C7eq,alpha_prime,1,0.5
npbc,1466,1468,prod,1233000,0.7325010000000001,prod,1234500,0.734001,alpha_prime,C7eq,3,1.5
npbc,1469,1495,prod,1234500,0.734001,prod,1248000,0.747501,C7eq,alpha_prime,27,13.5
npbc,1496,1496,prod,1248000,0.747501,prod,1248500,0.748001,alpha_prime,C7eq,1,0.5
npbc,1497,1500,prod,1248500,0.748001,prod,1250500,0.750001,C7eq,alpha_prime,4,2.0
npbc,1501,1519,prod,1250500,0.750001,prod,1260000,0.759501,alpha_prime,C7eq,19,9.5
npbc,1520,1523,prod,1260000,0.759501,prod,1262000,0.761501,C7eq,alpha_prime,4,2.0
npbc,1524,1542,prod,1262000,0.761501,prod,1271500,0.771001,alpha_prime,C7eq,19,9.5
npbc,1543,1543,prod,1271500,0.771001,prod,1272000,0.771501,C7eq,alpha_prime,1,0.5
npbc,1544,1593,prod,1272000,0.771501,prod,1297000,0.796501,alpha_prime,C7eq,50,25.0
npbc,1594,1596,prod,1297000,0.796501,prod,1298500,0.798001,C7eq,alpha_prime,3,1.5
npbc,1597,1603,prod,1298500,0.798001,prod,1302000,0.801501,alpha_prime,alphaR,7,3.5
npbc,1604,1606,prod,1302000,0.801501,prod,1303500,0.8030010000000001,alphaR,C7eq,3,1.5
npbc,1607,1609,prod,1303500,0.8030010000000001,prod,1305000,0.804501,C7eq,alphaR,3,1.5
npbc,1610,1614,prod,1305000,0.804501,prod,1307500,0.8070010000000001,alphaR,C7eq,5,2.5
npbc,1615,1620,prod,1307500,0.8070010000000001,prod,1310500,0.810001,C7eq,alpha_prime,6,3.0
npbc,1621,1623,prod,1310500,0.810001,prod,1312000,0.811501,alpha_prime,C7eq,3,1.5
npbc,1624,1624,prod,1312000,0.811501,prod,1312500,0.812001,C7eq,alpha_prime,1,0.5
npbc,1625,1666,prod,1312500,0.812001,prod,1333500,0.833001,alpha_prime,C7eq,42,21.0
npbc,1667,1667,prod,1333500,0.833001,prod,1334000,0.833501,C7eq,alpha_prime,1,0.5
npbc,1668,1673,prod,1334000,0.833501,prod,1337000,0.8365009999999999,alpha_prime,C7eq,6,3.0
npbc,1674,1674,prod,1337000,0.8365009999999999,prod,1337500,0.837001,C7eq,alpha_prime,1,0.5
npbc,1675,1677,prod,1337500,0.837001,prod,1339000,0.8385009999999999,alpha_prime,C7eq,3,1.5
npbc,1678,1687,prod,1339000,0.8385009999999999,prod,1344000,0.8435010000000001,C7eq,alpha_prime,10,5.0
npbc,1688,1691,prod,1344000,0.8435010000000001,prod,1346000,0.8455010000000001,alpha_prime,C7eq,4,2.0
npbc,1692,1692,prod,1346000,0.8455010000000001,prod,1346500,0.846001,C7eq,alpha_prime,1,0.5
npbc,1693,1698,prod,1346500,0.846001,prod,1349500,0.849001,alpha_prime,C7eq,6,3.0
npbc,1699,1699,prod,1349500,0.849001,prod,1350000,0.8495010000000001,C7eq,alpha_prime,1,0.5
npbc,1700,1705,prod,1350000,0.8495010000000001,prod,1353000,0.852501,alpha_prime,C7eq,6,3.0
npbc,1706,1706,prod,1353000,0.852501,prod,1353500,0.853001,C7eq,alpha_prime,1,0.5
npbc,1707,1714,prod,1353500,0.853001,prod,1357500,0.857001,alpha_prime,C7eq,8,4.0
npbc,1715,1715,prod,1357500,0.857001,prod,1358000,0.8575010000000001,C7eq,alpha_prime,1,0.5
npbc,1716,1739,prod,1358000,0.8575010000000001,prod,1370000,0.8695010000000001,alpha_prime,C7eq,24,12.0
npbc,1740,1740,prod,1370000,0.8695010000000001,prod,1370500,0.870001,C7eq,alpha_prime,1,0.5
npbc,1741,1762,prod,1370500,0.870001,prod,1381500,0.881001,alpha_prime,C7eq,22,11.0
npbc,1763,1764,prod,1381500,0.881001,prod,1382500,0.882001,C7eq,PPII,2,1.0
npbc,1765,1766,prod,1382500,0.882001,prod,1383500,0.883001,PPII,C5,2,1.0
npbc,1767,1778,prod,1383500,0.883001,prod,1389500,0.8890009999999999,C5,PPII,12,6.0
npbc,1779,1779,prod,1389500,0.8890009999999999,prod,1390000,0.889501,PPII,C5,1,0.5
npbc,1780,1782,prod,1390000,0.889501,prod,1391500,0.8910009999999999,C5,PPII,3,1.5
npbc,1783,1783,prod,1391500,0.8910009999999999,prod,1392000,0.891501,PPII,C5,1,0.5
npbc,1784,1784,prod,1392000,0.891501,prod,1392500,0.892001,C5,PPII,1,0.5
npbc,1785,1786,prod,1392500,0.892001,prod,1393500,0.8930009999999999,PPII,C5,2,1.0
npbc,1787,1803,prod,1393500,0.8930009999999999,prod,1402000,0.901501,C5,PPII,17,8.5
npbc,1804,1804,prod,1402000,0.901501,prod,1402500,0.902001,PPII,C5,1,0.5
npbc,1805,1962,prod,1402500,0.902001,prod,1481500,0.981001,C5,PPII,158,79.0
npbc,1963,1963,prod,1481500,0.981001,prod,1482000,0.981501,PPII,C5,1,0.5
npbc,1964,1964,prod,1482000,0.981501,prod,1482500,0.982001,C5,PPII,1,0.5
npbc,1965,1965,prod,1482500,0.982001,prod,1483000,0.9825010000000001,PPII,C5,1,0.5
npbc,1966,1966,prod,1483000,0.9825010000000001,prod,1483500,0.983001,C5,PPII,1,0.5
npbc,1967,1968,prod,1483500,0.983001,prod,1484500,0.984001,PPII,C7eq,2,1.0
npbc,1969,1969,prod,1484500,0.984001,prod,1485000,0.9845010000000001,C7eq,PPII,1,0.5
npbc,1970,1971,prod,1485000,0.9845010000000001,prod,1486000,0.985501,PPII,C5,2,1.0
npbc,1972,2070,prod,1486000,0.985501,prod,1535500,1.035001,C5,PPII,99,49.5
npbc,2071,2071,prod,1535500,1.035001,prod,1536000,1.035501,PPII,C5,1,0.5
npbc,2072,2073,prod,1536000,1.035501,prod,1537000,1.036501,C5,PPII,2,1.0
npbc,2074,2075,prod,1537000,1.036501,prod,1538000,1.037501,PPII,C5,2,1.0
npbc,2076,2114,prod,1538000,1.037501,prod,1557500,1.057001,C5,PPII,39,19.5
npbc,2115,2115,prod,1557500,1.057001,prod,1558000,1.057501,PPII,C7eq,1,0.5
npbc,2116,2116,prod,1558000,1.057501,prod,1558500,1.058001,C7eq,PPII,1,0.5
npbc,2117,2117,prod,1558500,1.058001,prod,1559000,1.0585010000000001,PPII,C7eq,1,0.5
npbc,2118,2118,prod,1559000,1.0585010000000001,prod,1559500,1.0590009999999999,C7eq,PPII,1,0.5
npbc,2119,2119,prod,1559500,1.0590009999999999,prod,1560000,1.059501,PPII,C7eq,1,0.5
npbc,2120,2120,prod,1560000,1.059501,prod,1560500,1.060001,C7eq,alpha_prime,1,0.5
npbc,2121,2121,prod,1560500,1.060001,prod,1561000,1.060501,alpha_prime,C7eq,1,0.5
npbc,2122,2124,prod,1561000,1.060501,prod,1562500,1.062001,C7eq,alpha_prime,3,1.5
npbc,2125,2127,prod,1562500,1.062001,prod,1564000,1.063501,alpha_prime,C7eq,3,1.5
npbc,2128,2128,prod,1564000,1.063501,prod,1564500,1.064001,C7eq,alpha_prime,1,0.5
npbc,2129,2130,prod,1564500,1.064001,prod,1565500,1.065001,alpha_prime,C7eq,2,1.0
npbc,2131,2133,prod,1565500,1.065001,prod,1567000,1.0665010000000001,C7eq,PPII,3,1.5
npbc,2134,2135,prod,1567000,1.0665010000000001,prod,1568000,1.067501,PPII,C5,2,1.0
npbc,2136,2138,prod,1568000,1.067501,prod,1569500,1.069001,C5,PPII,3,1.5
npbc,2139,2140,prod,1569500,1.069001,prod,1570500,1.070001,PPII,alpha_prime,2,1.0
npbc,2141,2142,prod,1570500,1.070001,prod,1571500,1.0710009999999999,alpha_prime,PPII,2,1.0
npbc,2143,2143,prod,1571500,1.0710009999999999,prod,1572000,1.071501,PPII,C7eq,1,0.5
npbc,2144,2144,prod,1572000,1.071501,prod,1572500,1.072001,C7eq,PPII,1,0.5
npbc,2145,2145,prod,1572500,1.072001,prod,1573000,1.072501,PPII,C7eq,1,0.5
