basin,npbc_n_dwells,npbc_mean_ps,npbc_median_ps,pbc_n_dwells,pbc_mean_ps,pbc_median_ps
alphaR,60,2.375,0.5,39,2.4743589743589745,1.0
alpha_prime,243,4.81275720164609,1.0,261,4.814176245210728,1.0
C7eq,278,1.9676258992805755,0.75,349,1.6246418338108883,1.0
PPII,105,0.7761904761904762,0.5,158,0.7215189873417721,0.5
