basin,pbc_raw,pbc_sem,npbc_raw,npbc_sem,npbc_bal_mean,npbc_bal_std,npbc_bal_ci_lo,npbc_bal_ci_hi,pbc_bal_mean,pbc_bal_ci_lo,pbc_bal_ci_hi,delta_bal_npbc_minus_pbc,delta_bal_ci_lo,delta_bal_ci_hi,delta_significant_95
alphaR,0.016329863237395388,0.005362305977573948,0.02491408934707904,0.02552914059112115,0.024737562246516704,0.013399824593840374,0.005854969509940594,0.05599148656473493,0.016646770602174406,0.005993058459666534,0.02741349917348992,0.008090791644342298,-0.014478635519663373,0.037435581800782665,0
alpha_prime,0.254031434986732,0.06425113171385657,0.2851006381934218,0.07636370568980176,0.28873823846821284,0.0600578176638083,0.18386036160368746,0.4087439612119772,0.2551968768098106,0.11995458606770884,0.39218484467432024,0.03354136165840221,-0.14053778379827128,0.21138038333169437,0
C7eq,0.11002245356195142,0.027019194995480104,0.1320569464899362,0.023561702255561697,0.1336440646295028,0.024635055775906536,0.08322830077949048,0.18019406338734084,0.11017894218227023,0.06305187723694865,0.15372968350732524,0.02346512244723256,-0.04619880291431593,0.09149799503171314,0
PPII,0.021330883853847724,0.004450288183097304,0.018900343642611686,0.003139961191041097,0.018961255643698792,0.0036121916992061394,0.012384065711055053,0.025852460336850874,0.02147220104930867,0.01407613765615074,0.02925931243528736,-0.0025109454056098796,-0.01255266455003497,0.007908058735357344,0
C5,0.5973668095529701,0.09145355393857181,0.5384143348060875,0.07292727094185669,0.5332858468738662,0.0779706932011292,0.3697323216158424,0.6780927070840727,0.5955835537082551,0.4143194981876449,0.7771952271857393,-0.062297706834388955,-0.29327232237037976,0.18093606386826738,0
alphaL,0.0009185548071034906,0.0005768628710062178,0.0006136475208640158,0.00022767027811677746,0.0006330321382027985,0.00024967926579855075,0.00014075197333598185,0.001132599351384742,0.0009216556481810762,0.00010156382908345338,0.001953787850115804,-0.0002886235099782776,-0.0014121168078813798,0.0006128919014031685,0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
