from_state,to_alphaR,to_alpha_prime,to_C7eq,to_PPII,to_C5,to_alphaL,to_alphaL_C7ax,to_C7ax,to_other
alphaR,0.7979274611398963,0.06217616580310881,0.08290155440414508,0.0,0.05699481865284974,0.0,0.0,0.0,0.0
alpha_prime,0.005173099880620772,0.8961400716275368,0.09231993633107839,0.005173099880620772,0.001193792280143255,0.0,0.0,0.0,0.0
C7eq,0.015873015873015872,0.2037037037037037,0.6922398589065256,0.05731922398589065,0.014109347442680775,0.01675485008818342,0.0,0.0,0.0
PPII,0.0,0.06578947368421052,0.29385964912280704,0.30701754385964913,0.3333333333333333,0.0,0.0,0.0,0.0
C5,0.0013559322033898306,0.0005084745762711864,0.002542372881355932,0.013559322033898305,0.9820338983050847,0.0,0.0,0.0,0.0
alphaL,0.0,0.0,0.59375,0.0,0.0,0.40625,0.0,0.0,0.0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
