frame_index,source,step,time_ns,rmsd_all_A,rmsd_heavy_A,rgyr_all_A,rgyr_heavy_A,dist_5_17_A
0,eq,500000,0.0,1.7092741784691526e-15,1.1938608439190968e-15,2.8436577637934155,2.1953007541138665,4.00982569908132
1,eq,500500,0.0005,1.9236760463681015,1.1987048859899707,2.8576459469410564,2.2502040380834574,4.1042324993607515
2,eq,501000,0.001,1.3321095657467177,0.8931213074167119,2.856150911650549,2.256706710875788,4.056593624706448
3,eq,501500,0.0015,1.4920330974021583,0.9537293332215244,2.8773893298008946,2.2623875522125516,4.0583145404761325
4,eq,502000,0.002,1.4383526421148627,0.9484576805936149,2.849057586444832,2.211509539682256,3.95341324542793
5,eq,502500,0.0025,1.2817829029883894,0.5967435931452996,2.9347595677183143,2.3188885075766072,4.235601811548036
6,eq,503000,0.003,1.9788932008442186,1.4232921407002876,2.871683474505505,2.278732487563168,4.072744707714565
7,eq,503500,0.0034999999999999996,2.2655594209608076,1.6009432593584099,2.8363189980670063,2.2372316322025294,4.160496834631653
8,eq,504000,0.004,1.6233113696584756,1.1417679506997094,2.8557291791346424,2.2258267078261076,4.12627244341694
9,eq,504500,0.0045,1.820105721256616,1.3044883403393186,2.823263662411568,2.1929425150231534,3.86218081686267
10,eq,505000,0.005,1.7422765963540032,1.3115628026279844,2.849875695789692,2.2714499270380064,4.022334187113498
11,eq,505500,0.0055,0.971672498422486,0.5828264377093532,2.9033544250932546,2.303794195953321,4.044222284255033
12,eq,506000,0.006,1.009260319905228,0.7252131897942793,2.950659610680932,2.378677764787124,4.4677995244569795
13,eq,506500,0.0065,1.3318406871002917,0.7994851280961301,2.8255544766917837,2.251631349539196,3.8508854278476012
14,eq,507000,0.006999999999999999,1.4134383765987304,0.8604775477166182,2.871605719654342,2.306325264115357,4.2083375818116115
15,eq,507500,0.0075,2.1903588998633317,1.4148422240449217,2.8969474077570516,2.2833549234448745,4.36591246189442
16,eq,508000,0.008,1.9834891783434803,1.169332226086913,2.864913396249261,2.2690435525693213,4.04679712026746
17,eq,508500,0.008499999999999999,2.1739706186436076,1.3732135439725421,2.9332637168219513,2.358495102585973,4.51286194491921
18,eq,509000,0.009,1.7434760600804704,1.0353074771025372,2.915375906983115,2.3628662577089026,4.319112683008976
19,eq,509500,0.0095,2.1537317576627752,1.3679100678426266,2.900263232453841,2.3647940937677574,4.726529057712435
20,eq,510000,0.01,2.265025565687341,1.4003682320998256,2.9267961564838485,2.3256431260374812,4.321313688270733
21,eq,510500,0.010499999999999999,3.1128079357768894,2.1678422518870595,2.851362000902407,2.2502224047836155,4.04858953109512
22,eq,511000,0.011,2.917174998720043,2.0047819275522865,2.8377086160581824,2.225889534656635,4.040334008561792
23,eq,511500,0.0115,3.468282915014876,2.4767407502639913,2.838114241334728,2.229923024701785,4.031239654260725
24,eq,512000,0.012,2.9640427590661087,2.1026540189676726,2.923961913289032,2.4158768374824606,4.530555278795856
25,eq,512500,0.012499999999999999,2.5885710208079202,1.8042302736452434,2.9704250048229164,2.4284132977366757,4.778758216957205
26,eq,513000,0.013,2.5583214519167607,1.8154994969143812,2.913589056960181,2.3689515696299663,4.562721265992588
27,eq,513500,0.0135,2.333883198897062,1.691831946329206,2.9127129848958906,2.375358993917782,4.605234738536246
28,eq,514000,0.013999999999999999,2.3642266488942942,1.767318075932571,2.9213556932673077,2.396041305171488,4.6869137988889875
29,eq,514500,0.014499999999999999,3.141476684646789,2.407034038885467,2.907944846413124,2.3831196736824234,4.616075901007695
30,eq,515000,0.015,3.301222393053499,2.5494081721638175,2.9617273446671404,2.407830255740371,4.689695838450694
31,eq,515500,0.0155,2.9713247087174026,2.3355552247554634,2.931397449753664,2.400517980559977,4.551965123278187
32,eq,516000,0.016,3.1827819433660163,2.432426374050302,2.9432085015824287,2.347795701872293,4.556310959590445
33,eq,516500,0.0165,3.574983968450624,2.744633365161166,2.941474141004569,2.396352538282767,4.697138939567362
34,eq,517000,0.016999999999999998,3.56870366288394,2.794414201801885,2.961088332868506,2.4295540383272627,4.646828090345607
35,eq,517500,0.017499999999999998,3.7480990349636447,2.8941045631652247,2.935692754087157,2.3916151369326624,4.725640932267813
36,eq,518000,0.018,3.3266857341420994,2.5127524861722876,2.9692192824586634,2.404870248488372,4.664145541203125
37,eq,518500,0.0185,3.582254174307559,2.8614672974325184,2.9476448600961036,2.398290255677167,4.725729677333332
