frame_index,source,step,time_ns,rmsd_all_A,rmsd_heavy_A,rgyr_all_A,rgyr_heavy_A,dist_5_17_A
0,eq,500000,0.0,1.391920953745296e-15,1.1022777503154259e-15,2.7748162241671808,2.207151545830549,3.2708991151571767
1,eq,500500,0.0005,1.1938635754344993,0.7211648489136261,2.8026414574373115,2.249809310594047,3.4130151543578
2,eq,501000,0.001,1.072363974575707,0.7854229782488772,2.738894276947086,2.234229880955402,3.2415357329784293
3,eq,501500,0.0015,1.1126786022154016,0.7425843470974476,2.7066713815724897,2.1924942411354538,3.2605790612559913
4,eq,502000,0.002,1.4910559600409048,0.9268416372208375,2.8078503596048767,2.2653445929753406,3.641791552129391
5,eq,502500,0.0025,0.9652787289135556,0.3065572916993224,2.723474988357603,2.172649056486825,3.2140741596859583
6,eq,503000,0.003,1.8690261689290162,1.4000658130733146,2.7082894906415507,2.157426193449088,3.202714166949183
7,eq,503500,0.0034999999999999996,1.1968263864744058,0.9055812752833236,2.7224643674267703,2.1971200402067566,3.284134146906456
8,eq,504000,0.004,1.3939097465208432,0.8922417961201176,2.6939794405962356,2.162404682805287,3.0769479063979306
9,eq,504500,0.0045,2.155626098037516,1.44361691308892,2.651364991920504,2.1102463323400324,3.0324272451396093
10,eq,505000,0.005,1.8029230575938813,1.1116973358145033,2.7317680395704556,2.181419455377654,3.2731551876897007
11,eq,505500,0.0055,1.3939736928191468,1.0458895594327748,2.717393593054868,2.1856573665335977,3.400028362967139
12,eq,506000,0.006,1.4014522607872164,0.9701577763382473,2.677748654851592,2.1556540701518627,3.1152938611947927
13,eq,506500,0.0065,1.3446397829459054,0.9379740656850022,2.7308380737949767,2.1994231074517017,3.179945157188249
14,eq,507000,0.006999999999999999,1.259038691837436,0.904342199077561,2.71680964580419,2.1824300156785443,3.296409389441943
15,eq,507500,0.0075,1.742718689675707,1.2509317698015974,2.7615140174462534,2.2313692654860864,3.418783136827488
16,eq,508000,0.008,2.5631473901037007,1.9460680050183818,2.6568037459180722,2.125757558137747,2.9194312255297263
17,eq,508500,0.008499999999999999,2.5913803532466364,1.948871329186133,2.783965991137956,2.264790133252801,3.598858949999291
18,eq,509000,0.009,2.8202331062937436,2.1585325819674077,2.6948202456305568,2.1543652176454704,3.179198542377937
19,eq,509500,0.0095,3.0150644499407577,2.2828001955868054,2.73810042731563,2.2033361735493973,3.2944470190192763
20,eq,510000,0.01,2.920074778541822,2.232239202297457,2.7378012989517964,2.2092819157185017,3.1714887029666987
21,eq,510500,0.010499999999999999,2.2999585869030326,1.6477308306067664,2.7723536342281565,2.2167132243193346,3.4371006881502963
22,eq,511000,0.011,2.5444890680133603,1.9143091651699706,2.733786323400007,2.2446791384656883,3.509781149103175
23,eq,511500,0.0115,2.351283585508416,1.7273891113270383,2.78708965987248,2.262373602871211,3.4171084355971204
24,eq,512000,0.012,2.7319042159428326,1.9775390338693857,2.793015239007133,2.3002500336035716,3.727647049142529
25,eq,512500,0.012499999999999999,2.251362860381779,1.6182597633690148,2.806917400776215,2.279867108394457,3.5312736791843253
26,eq,513000,0.013,2.0846297835031313,1.5209134901697927,2.729754980630107,2.208060665582792,3.286368912968993
