from_state,to_alphaR,to_alpha_prime,to_C7eq,to_PPII,to_C5,to_alphaL,to_alphaL_C7ax,to_C7ax,to_other
alphaR,0.7894736842105263,0.05263157894736842,0.06315789473684211,0.0,0.028070175438596492,0.0,0.0,0.06666666666666667,0.0
alpha_prime,0.005988023952095809,0.8964927288280582,0.09153122326775022,0.0051325919589392645,0.000855431993156544,0.0,0.0,0.0,0.0
C7eq,0.016453382084095063,0.19012797074954296,0.7458866544789763,0.031078610603290677,0.010054844606946984,0.006398537477148081,0.0,0.0,0.0
PPII,0.006134969325153374,0.08588957055214724,0.18404907975460122,0.3558282208588957,0.36809815950920244,0.0,0.0,0.0,0.0
C5,0.0018144704014515763,0.0011340440009072353,0.0020412792016330232,0.013154910410523928,0.9811748695849399,0.0,0.0,0.0006804264005443411,0.0
alphaL,0.0,0.0,0.22580645161290322,0.0,0.0,0.25806451612903225,0.2903225806451613,0.22580645161290322,0.0
alphaL_C7ax,0.0,0.0,0.0,0.0,0.0,0.010501750291715286,0.9731621936989499,0.01633605600933489,0.0
C7ax,0.023086269744835967,0.0,0.0,0.001215066828675577,0.002430133657351154,0.00850546780072904,0.01701093560145808,0.9477521263669502,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
