frame,step,time_ns,n_shell1,n_shell2
221,2710000,2.21,11,35
222,2720000,2.22,11,27
223,2730000,2.23,12,28
224,2740000,2.24,12,28
225,2750000,2.25,17,22
226,2760000,2.2600000000000002,13,28
227,2770000,2.27,16,25
228,2780000,2.2800000000000002,16,23
229,2790000,2.29,8,28
230,2800000,2.3000000000000003,15,27
231,2810000,2.31,8,28
232,2820000,2.32,11,29
233,2830000,2.33,17,25
234,2840000,2.34,11,29
235,2850000,2.35,10,26
236,2860000,2.36,10,26
237,2870000,2.37,8,28
238,2880000,2.38,22,21
239,2890000,2.39,14,33
240,2900000,2.4,13,32
241,2910000,2.41,13,29
242,2920000,2.42,16,21
243,2930000,2.43,8,31
244,2940000,2.44,12,29
245,2950000,2.45,10,25
246,2960000,2.46,14,29
247,2970000,2.47,14,29
248,2980000,2.48,16,26
249,2990000,2.49,11,31
250,3000000,2.5,10,24
251,3010000,2.5100000000000002,11,23
252,3020000,2.52,17,24
253,3030000,2.5300000000000002,14,23
254,3040000,2.54,11,30
255,3050000,2.5500000000000003,17,22
256,3060000,2.56,13,30
257,3070000,2.57,15,27
258,3080000,2.58,11,28
259,3090000,2.59,15,28
260,3100000,2.6,12,30
261,3110000,2.61,9,28
262,3120000,2.62,11,31
263,3130000,2.63,15,28
264,3140000,2.64,14,23
265,3150000,2.65,11,35
266,3160000,2.66,8,26
267,3170000,2.67,10,29
268,3180000,2.68,13,26
269,3190000,2.69,16,26
270,3200000,2.7,10,32
271,3210000,2.71,10,28
272,3220000,2.72,14,31
273,3230000,2.73,16,24
274,3240000,2.74,12,25
275,3250000,2.75,13,28
276,3260000,2.7600000000000002,10,25
277,3270000,2.77,11,30
278,3280000,2.7800000000000002,17,27
279,3290000,2.79,15,27
280,3300000,2.8000000000000003,12,31
281,3310000,2.81,11,30
282,3320000,2.82,9,31
283,3330000,2.83,11,31
284,3340000,2.84,9,30
285,3350000,2.85,13,30
286,3360000,2.86,13,29
287,3370000,2.87,15,26
288,3380000,2.88,12,27
289,3390000,2.89,11,26
290,3400000,2.9,10,29
291,3410000,2.91,13,23
292,3420000,2.92,14,22
293,3430000,2.93,9,30
294,3440000,2.94,9,32
295,3450000,2.95,10,29
296,3460000,2.96,13,27
297,3470000,2.97,15,26
298,3480000,2.98,9,33
299,3490000,2.99,13,22
300,3500000,3.0,13,32
301,3510000,3.0100000000000002,15,24
302,3520000,3.02,13,32
303,3530000,3.0300000000000002,12,29
304,3540000,3.04,14,30
305,3550000,3.0500000000000003,9,28
306,3560000,3.06,13,25
307,3570000,3.0700000000000003,15,22
308,3580000,3.08,14,26
309,3590000,3.09,9,29
310,3600000,3.1,7,29
311,3610000,3.11,11,30
312,3620000,3.12,7,35
313,3630000,3.13,14,25
314,3640000,3.14,15,22
315,3650000,3.15,13,29
316,3660000,3.16,16,21
317,3670000,3.17,12,28
318,3680000,3.18,10,29
319,3690000,3.19,11,27
320,3700000,3.2,19,26
321,3710000,3.21,10,27
322,3720000,3.22,9,32
323,3730000,3.23,11,27
324,3740000,3.24,11,30
325,3750000,3.25,12,28
326,3760000,3.2600000000000002,15,23
327,3770000,3.27,15,26
328,3780000,3.2800000000000002,12,23
329,3790000,3.29,13,25
330,3800000,3.3000000000000003,16,22
331,3810000,3.31,12,27
332,3820000,3.3200000000000003,20,18
333,3830000,3.33,13,29
334,3840000,3.34,11,28
335,3850000,3.35,12,28
336,3860000,3.36,12,24
337,3870000,3.37,9,33
338,3880000,3.38,14,25
339,3890000,3.39,11,24
340,3900000,3.4,14,26
341,3910000,3.41,10,25
342,3920000,3.42,9,30
343,3930000,3.43,10,28
344,3940000,3.44,10,29
345,3950000,3.45,8,33
346,3960000,3.46,12,33
347,3970000,3.47,16,27
348,3980000,3.48,13,28
349,3990000,3.49,9,31
350,4000000,3.5,8,32
351,4010000,3.5100000000000002,15,32
352,4020000,3.52,13,28
353,4030000,3.5300000000000002,12,25
354,4040000,3.54,14,24
355,4050000,3.5500000000000003,12,25
356,4060000,3.56,14,28
357,4070000,3.5700000000000003,14,24
358,4080000,3.58,11,30
359,4090000,3.59,11,30
360,4100000,3.6,10,29
361,4110000,3.61,12,32
362,4120000,3.62,10,27
363,4130000,3.63,9,29
364,4140000,3.64,14,24
365,4150000,3.65,13,25
366,4160000,3.66,9,28
367,4170000,3.67,12,26
368,4180000,3.68,12,30
369,4190000,3.69,12,32
370,4200000,3.7,9,32
371,4210000,3.71,16,27
372,4220000,3.72,15,25
373,4230000,3.73,8,31
374,4240000,3.74,12,29
375,4250000,3.75,14,25
376,4260000,3.7600000000000002,12,30
377,4270000,3.77,11,31
378,4280000,3.7800000000000002,12,30
379,4290000,3.79,9,31
380,4300000,3.8000000000000003,12,29
381,4310000,3.81,13,30
382,4320000,3.8200000000000003,9,32
383,4330000,3.83,10,31
384,4340000,3.84,14,25
385,4350000,3.85,12,29
386,4360000,3.86,12,28
387,4370000,3.87,11,30
388,4380000,3.88,12,31
389,4390000,3.89,13,28
390,4400000,3.9,15,23
391,4410000,3.91,10,29
392,4420000,3.92,16,27
393,4430000,3.93,15,28
394,4440000,3.94,13,25
395,4450000,3.95,14,24
396,4460000,3.96,10,29
397,4470000,3.97,10,29
398,4480000,3.98,13,31
399,4490000,3.99,13,29
400,4500000,4.0,12,31
401,4510000,4.01,12,27
402,4520000,4.0200000000000005,11,31
403,4530000,4.03,14,28
404,4540000,4.04,11,31
405,4550000,4.05,11,29
406,4560000,4.0600000000000005,9,31
407,4570000,4.07,12,29
408,4580000,4.08,13,26
409,4590000,4.09,11,29
410,4600000,4.1,13,27
411,4610000,4.11,13,23
412,4620000,4.12,13,26
413,4630000,4.13,14,23
414,4640000,4.14,11,26
415,4650000,4.15,11,24
416,4660000,4.16,9,28
417,4670000,4.17,12,27
418,4680000,4.18,14,26
419,4690000,4.19,12,32
420,4700000,4.2,15,27
421,4710000,4.21,11,26
422,4720000,4.22,12,31
423,4730000,4.23,14,29
424,4740000,4.24,11,30
425,4750000,4.25,12,32
426,4760000,4.26,16,19
427,4770000,4.2700000000000005,13,28
428,4780000,4.28,13,23
429,4790000,4.29,11,33
430,4800000,4.3,16,25
431,4810000,4.3100000000000005,16,26
432,4820000,4.32,15,24
433,4830000,4.33,12,29
434,4840000,4.34,9,31
435,4850000,4.3500000000000005,12,31
436,4860000,4.36,12,29
437,4870000,4.37,15,25
438,4880000,4.38,9,31
439,4890000,4.39,10,32
440,4900000,4.4,16,21
441,4910000,4.41,11,29
442,4920000,4.42,12,29
443,4930000,4.43,10,33
444,4940000,4.44,15,25
445,4950000,4.45,13,29
446,4960000,4.46,11,28
447,4970000,4.47,15,26
448,4980000,4.48,12,27
449,4990000,4.49,12,31
450,5000000,4.5,12,29
451,5010000,4.51,9,31
452,5020000,4.5200000000000005,18,22
453,5030000,4.53,14,21
454,5040000,4.54,12,30
455,5050000,4.55,9,30
456,5060000,4.5600000000000005,12,27
457,5070000,4.57,11,31
458,5080000,4.58,12,26
459,5090000,4.59,12,27
460,5100000,4.6000000000000005,12,24
461,5110000,4.61,11,31
462,5120000,4.62,10,34
463,5130000,4.63,12,29
464,5140000,4.64,15,27
465,5150000,4.65,11,29
466,5160000,4.66,16,21
467,5170000,4.67,9,30
468,5180000,4.68,13,25
469,5190000,4.69,13,28
470,5200000,4.7,14,25
471,5210000,4.71,15,24
472,5220000,4.72,13,29
473,5230000,4.73,17,23
474,5240000,4.74,13,29
475,5250000,4.75,14,26
476,5260000,4.76,17,29
477,5270000,4.7700000000000005,11,26
478,5280000,4.78,10,29
479,5290000,4.79,8,31
480,5300000,4.8,11,27
481,5310000,4.8100000000000005,15,25
482,5320000,4.82,14,25
483,5330000,4.83,12,25
484,5340000,4.84,13,28
485,5350000,4.8500000000000005,10,25
486,5360000,4.86,12,31
487,5370000,4.87,11,28
