frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
193,2430000,1.93,2,3,5
194,2440000,1.94,1,4,5
195,2450000,1.95,0,5,5
196,2460000,1.96,1,3,4
197,2470000,1.97,2,2,4
198,2480000,1.98,1,3,4
199,2490000,1.99,2,3,5
200,2500000,2.0,2,4,6
201,2510000,2.0100000000000002,1,2,3
202,2520000,2.02,1,3,4
203,2530000,2.0300000000000002,1,2,3
204,2540000,2.04,2,3,5
205,2550000,2.05,1,4,5
206,2560000,2.06,0,3,3
207,2570000,2.07,2,5,7
208,2580000,2.08,2,2,4
209,2590000,2.09,1,3,4
210,2600000,2.1,1,3,4
211,2610000,2.11,1,2,3
212,2620000,2.12,2,3,5
213,2630000,2.13,1,3,4
214,2640000,2.14,1,4,5
215,2650000,2.15,1,3,4
216,2660000,2.16,1,4,5
217,2670000,2.17,1,4,5
218,2680000,2.18,0,4,4
219,2690000,2.19,1,3,4
220,2700000,2.2,1,3,4
221,2710000,2.21,1,3,4
222,2720000,2.22,1,3,4
223,2730000,2.23,1,1,2
224,2740000,2.24,2,1,3
225,2750000,2.25,1,4,5
226,2760000,2.2600000000000002,1,4,5
227,2770000,2.27,1,4,5
228,2780000,2.2800000000000002,1,5,6
229,2790000,2.29,2,4,6
230,2800000,2.3000000000000003,0,3,3
231,2810000,2.31,1,4,5
232,2820000,2.32,1,3,4
233,2830000,2.33,1,2,3
234,2840000,2.34,0,4,4
235,2850000,2.35,1,4,5
236,2860000,2.36,2,3,5
237,2870000,2.37,2,3,5
238,2880000,2.38,2,2,4
239,2890000,2.39,0,5,5
240,2900000,2.4,1,3,4
241,2910000,2.41,1,4,5
242,2920000,2.42,1,2,3
243,2930000,2.43,1,2,3
244,2940000,2.44,1,3,4
245,2950000,2.45,1,4,5
246,2960000,2.46,1,3,4
247,2970000,2.47,1,2,3
248,2980000,2.48,2,4,6
249,2990000,2.49,1,3,4
250,3000000,2.5,2,3,5
251,3010000,2.5100000000000002,1,3,4
252,3020000,2.52,1,3,4
253,3030000,2.5300000000000002,1,4,5
254,3040000,2.54,0,3,3
255,3050000,2.5500000000000003,1,4,5
256,3060000,2.56,0,4,4
257,3070000,2.57,1,4,5
258,3080000,2.58,1,3,4
259,3090000,2.59,1,3,4
260,3100000,2.6,0,4,4
261,3110000,2.61,1,2,3
262,3120000,2.62,1,4,5
263,3130000,2.63,1,3,4
264,3140000,2.64,0,4,4
265,3150000,2.65,1,4,5
266,3160000,2.66,2,2,4
267,3170000,2.67,0,2,2
268,3180000,2.68,0,3,3
269,3190000,2.69,0,4,4
270,3200000,2.7,2,3,5
271,3210000,2.71,1,5,6
272,3220000,2.72,1,1,2
273,3230000,2.73,1,3,4
274,3240000,2.74,2,4,6
275,3250000,2.75,1,5,6
276,3260000,2.7600000000000002,1,4,5
277,3270000,2.77,2,3,5
278,3280000,2.7800000000000002,1,3,4
279,3290000,2.79,1,3,4
280,3300000,2.8000000000000003,1,2,3
281,3310000,2.81,2,3,5
282,3320000,2.82,2,1,3
283,3330000,2.83,2,4,6
284,3340000,2.84,1,5,6
285,3350000,2.85,2,3,5
286,3360000,2.86,1,5,6
287,3370000,2.87,0,2,2
288,3380000,2.88,1,2,3
289,3390000,2.89,1,4,5
290,3400000,2.9,1,4,5
291,3410000,2.91,0,3,3
292,3420000,2.92,2,4,6
293,3430000,2.93,1,3,4
294,3440000,2.94,1,2,3
295,3450000,2.95,1,5,6
296,3460000,2.96,0,3,3
297,3470000,2.97,0,2,2
298,3480000,2.98,0,2,2
299,3490000,2.99,1,3,4
300,3500000,3.0,2,2,4
301,3510000,3.0100000000000002,1,2,3
302,3520000,3.02,1,5,6
303,3530000,3.0300000000000002,2,5,7
304,3540000,3.04,1,2,3
305,3550000,3.0500000000000003,0,3,3
306,3560000,3.06,1,4,5
307,3570000,3.0700000000000003,2,3,5
308,3580000,3.08,1,4,5
309,3590000,3.09,1,3,4
310,3600000,3.1,2,3,5
311,3610000,3.11,1,3,4
312,3620000,3.12,2,3,5
313,3630000,3.13,0,4,4
314,3640000,3.14,1,5,6
315,3650000,3.15,1,4,5
316,3660000,3.16,0,3,3
317,3670000,3.17,2,2,4
318,3680000,3.18,2,2,4
319,3690000,3.19,0,3,3
320,3700000,3.2,0,4,4
321,3710000,3.21,1,5,6
322,3720000,3.22,1,4,5
323,3730000,3.23,1,4,5
324,3740000,3.24,2,3,5
325,3750000,3.25,1,2,3
326,3760000,3.2600000000000002,1,4,5
327,3770000,3.27,1,2,3
328,3780000,3.2800000000000002,2,2,4
329,3790000,3.29,0,2,2
330,3800000,3.3000000000000003,1,3,4
331,3810000,3.31,1,5,6
332,3820000,3.3200000000000003,2,3,5
333,3830000,3.33,1,2,3
334,3840000,3.34,0,2,2
335,3850000,3.35,1,4,5
336,3860000,3.36,2,3,5
337,3870000,3.37,1,4,5
338,3880000,3.38,2,3,5
339,3890000,3.39,1,3,4
340,3900000,3.4,2,4,6
341,3910000,3.41,0,4,4
342,3920000,3.42,2,2,4
343,3930000,3.43,2,3,5
344,3940000,3.44,2,3,5
345,3950000,3.45,1,4,5
346,3960000,3.46,1,2,3
347,3970000,3.47,1,3,4
348,3980000,3.48,1,2,3
349,3990000,3.49,1,1,2
350,4000000,3.5,0,4,4
351,4010000,3.5100000000000002,1,3,4
352,4020000,3.52,1,3,4
353,4030000,3.5300000000000002,2,5,7
354,4040000,3.54,1,5,6
355,4050000,3.5500000000000003,1,4,5
356,4060000,3.56,1,3,4
357,4070000,3.5700000000000003,0,4,4
358,4080000,3.58,0,3,3
359,4090000,3.59,1,5,6
360,4100000,3.6,0,2,2
361,4110000,3.61,1,3,4
362,4120000,3.62,0,2,2
363,4130000,3.63,1,2,3
364,4140000,3.64,2,4,6
365,4150000,3.65,0,3,3
366,4160000,3.66,1,3,4
367,4170000,3.67,0,4,4
368,4180000,3.68,2,3,5
369,4190000,3.69,1,3,4
370,4200000,3.7,1,3,4
371,4210000,3.71,1,3,4
372,4220000,3.72,1,3,4
373,4230000,3.73,2,4,6
374,4240000,3.74,1,5,6
375,4250000,3.75,2,6,8
376,4260000,3.7600000000000002,1,3,4
377,4270000,3.77,1,4,5
378,4280000,3.7800000000000002,0,5,5
379,4290000,3.79,1,3,4
380,4300000,3.8000000000000003,1,4,5
381,4310000,3.81,0,4,4
382,4320000,3.8200000000000003,2,3,5
383,4330000,3.83,1,2,3
384,4340000,3.84,1,3,4
385,4350000,3.85,1,4,5
386,4360000,3.86,1,3,4
387,4370000,3.87,1,3,4
388,4380000,3.88,0,4,4
389,4390000,3.89,1,5,6
390,4400000,3.9,0,3,3
391,4410000,3.91,1,5,6
392,4420000,3.92,0,1,1
393,4430000,3.93,2,2,4
394,4440000,3.94,2,2,4
395,4450000,3.95,2,4,6
396,4460000,3.96,1,2,3
397,4470000,3.97,0,2,2
398,4480000,3.98,2,3,5
399,4490000,3.99,2,4,6
400,4500000,4.0,2,3,5
401,4510000,4.01,2,2,4
402,4520000,4.0200000000000005,1,3,4
403,4530000,4.03,1,3,4
404,4540000,4.04,1,2,3
405,4550000,4.05,0,3,3
406,4560000,4.0600000000000005,1,3,4
407,4570000,4.07,1,1,2
408,4580000,4.08,0,4,4
409,4590000,4.09,0,4,4
410,4600000,4.1,1,3,4
411,4610000,4.11,1,3,4
412,4620000,4.12,2,3,5
413,4630000,4.13,2,3,5
414,4640000,4.14,2,3,5
415,4650000,4.15,1,3,4
416,4660000,4.16,2,4,6
417,4670000,4.17,1,5,6
418,4680000,4.18,1,3,4
419,4690000,4.19,0,4,4
420,4700000,4.2,1,3,4
421,4710000,4.21,2,4,6
422,4720000,4.22,1,3,4
423,4730000,4.23,0,3,3
424,4740000,4.24,1,3,4
425,4750000,4.25,1,1,2
426,4760000,4.26,1,7,8
427,4770000,4.2700000000000005,1,4,5
428,4780000,4.28,0,4,4
429,4790000,4.29,1,4,5
430,4800000,4.3,0,2,2
431,4810000,4.3100000000000005,2,1,3
432,4820000,4.32,1,2,3
433,4830000,4.33,1,3,4
434,4840000,4.34,1,4,5
435,4850000,4.3500000000000005,0,3,3
436,4860000,4.36,1,2,3
437,4870000,4.37,0,3,3
438,4880000,4.38,0,4,4
439,4890000,4.39,1,2,3
440,4900000,4.4,0,3,3
441,4910000,4.41,2,1,3
442,4920000,4.42,0,2,2
443,4930000,4.43,0,4,4
444,4940000,4.44,1,3,4
445,4950000,4.45,2,2,4
446,4960000,4.46,1,4,5
447,4970000,4.47,2,4,6
448,4980000,4.48,1,6,7
449,4990000,4.49,0,4,4
450,5000000,4.5,2,2,4
451,5010000,4.51,0,4,4
