site_category,CN_npbc,CN_pbc,delta_npbc_minus_pbc
all_heavy,1.8688622754491018,2.3359281437125747,-0.46706586826347296
O_acceptor,2.94311377245509,3.541916167664671,-0.5988023952095811
N_site,1.9231536926147705,2.2634730538922154,-0.3403193612774449
