frame,step,time_ns,n_shell1,n_shell2
221,2710000,2.21,15,32
222,2720000,2.22,15,32
223,2730000,2.23,15,28
224,2740000,2.24,15,28
225,2750000,2.25,15,27
226,2760000,2.2600000000000002,13,31
227,2770000,2.27,13,27
228,2780000,2.2800000000000002,15,30
229,2790000,2.29,13,33
230,2800000,2.3000000000000003,18,24
231,2810000,2.31,15,29
232,2820000,2.32,12,31
233,2830000,2.33,14,30
234,2840000,2.34,15,24
235,2850000,2.35,14,28
236,2860000,2.36,15,28
237,2870000,2.37,17,24
238,2880000,2.38,17,24
239,2890000,2.39,10,31
240,2900000,2.4,14,30
241,2910000,2.41,12,31
242,2920000,2.42,17,28
243,2930000,2.43,11,31
244,2940000,2.44,10,38
245,2950000,2.45,15,26
246,2960000,2.46,9,34
247,2970000,2.47,16,26
248,2980000,2.48,13,31
249,2990000,2.49,13,31
250,3000000,2.5,21,23
251,3010000,2.5100000000000002,14,29
252,3020000,2.52,12,36
253,3030000,2.5300000000000002,18,24
254,3040000,2.54,15,29
255,3050000,2.5500000000000003,14,28
256,3060000,2.56,15,30
257,3070000,2.57,17,26
258,3080000,2.58,20,22
259,3090000,2.59,13,30
260,3100000,2.6,14,24
261,3110000,2.61,11,32
262,3120000,2.62,14,31
263,3130000,2.63,13,26
264,3140000,2.64,18,22
265,3150000,2.65,15,28
266,3160000,2.66,14,30
267,3170000,2.67,17,24
268,3180000,2.68,15,30
269,3190000,2.69,14,29
270,3200000,2.7,22,19
271,3210000,2.71,16,31
272,3220000,2.72,15,27
273,3230000,2.73,11,33
274,3240000,2.74,13,35
275,3250000,2.75,15,28
276,3260000,2.7600000000000002,13,34
277,3270000,2.77,15,28
278,3280000,2.7800000000000002,11,34
279,3290000,2.79,12,30
280,3300000,2.8000000000000003,15,32
281,3310000,2.81,16,24
282,3320000,2.82,14,27
283,3330000,2.83,15,27
284,3340000,2.84,14,29
285,3350000,2.85,19,25
286,3360000,2.86,11,32
287,3370000,2.87,17,26
288,3380000,2.88,13,28
289,3390000,2.89,13,31
290,3400000,2.9,15,25
291,3410000,2.91,12,33
292,3420000,2.92,8,35
293,3430000,2.93,14,26
294,3440000,2.94,15,27
295,3450000,2.95,14,29
296,3460000,2.96,15,29
297,3470000,2.97,11,31
298,3480000,2.98,15,29
299,3490000,2.99,16,25
300,3500000,3.0,11,34
301,3510000,3.0100000000000002,14,26
302,3520000,3.02,13,27
303,3530000,3.0300000000000002,16,26
304,3540000,3.04,13,28
305,3550000,3.0500000000000003,14,30
306,3560000,3.06,12,32
307,3570000,3.0700000000000003,13,32
308,3580000,3.08,11,30
309,3590000,3.09,19,26
310,3600000,3.1,14,31
311,3610000,3.11,13,27
312,3620000,3.12,15,29
313,3630000,3.13,12,31
314,3640000,3.14,15,32
315,3650000,3.15,16,25
316,3660000,3.16,20,24
317,3670000,3.17,15,24
318,3680000,3.18,18,26
319,3690000,3.19,15,28
320,3700000,3.2,10,36
321,3710000,3.21,18,24
322,3720000,3.22,15,26
323,3730000,3.23,12,31
324,3740000,3.24,15,29
325,3750000,3.25,18,29
326,3760000,3.2600000000000002,15,26
327,3770000,3.27,13,34
328,3780000,3.2800000000000002,14,30
329,3790000,3.29,18,26
330,3800000,3.3000000000000003,16,27
