class,npbc_mean_ps,npbc_median_ps,npbc_std_ps,pbc_mean_ps,pbc_median_ps,pbc_std_ps,delta_mean_npbc_minus_pbc_ps
solute_to_water,11.796690307328605,10.0,4.728284200894855,12.115869017632242,10.0,4.877973070418654,-0.3191787103036372
water_to_solute,13.39522546419098,10.0,6.6759596584030785,12.763268744734624,10.0,5.889402157411977,0.6319567194563565
all,12.96010296010296,10.0,6.245849949070311,12.6010101010101,10.0,5.65840841928568,0.3590928590928595
