frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
193,2430000,1.93,0,3,3
194,2440000,1.94,0,2,2
195,2450000,1.95,2,3,5
196,2460000,1.96,0,2,2
197,2470000,1.97,1,4,5
198,2480000,1.98,1,2,3
199,2490000,1.99,1,3,4
200,2500000,2.0,0,2,2
201,2510000,2.0100000000000002,2,3,5
202,2520000,2.02,2,3,5
203,2530000,2.0300000000000002,1,2,3
204,2540000,2.04,1,5,6
205,2550000,2.05,1,2,3
206,2560000,2.06,2,3,5
207,2570000,2.07,2,3,5
208,2580000,2.08,0,3,3
209,2590000,2.09,1,4,5
210,2600000,2.1,1,1,2
211,2610000,2.11,1,3,4
212,2620000,2.12,1,3,4
213,2630000,2.13,0,2,2
214,2640000,2.14,2,2,4
215,2650000,2.15,0,3,3
216,2660000,2.16,1,5,6
217,2670000,2.17,1,3,4
218,2680000,2.18,1,2,3
219,2690000,2.19,1,2,3
220,2700000,2.2,2,1,3
221,2710000,2.21,2,4,6
222,2720000,2.22,1,2,3
223,2730000,2.23,2,4,6
224,2740000,2.24,0,3,3
225,2750000,2.25,1,4,5
226,2760000,2.2600000000000002,1,3,4
227,2770000,2.27,2,4,6
228,2780000,2.2800000000000002,1,3,4
229,2790000,2.29,1,5,6
230,2800000,2.3000000000000003,0,3,3
231,2810000,2.31,1,2,3
232,2820000,2.32,1,4,5
233,2830000,2.33,0,5,5
234,2840000,2.34,1,4,5
235,2850000,2.35,1,3,4
236,2860000,2.36,1,3,4
237,2870000,2.37,0,2,2
238,2880000,2.38,1,2,3
239,2890000,2.39,1,5,6
240,2900000,2.4,1,2,3
241,2910000,2.41,1,4,5
242,2920000,2.42,1,4,5
243,2930000,2.43,0,3,3
244,2940000,2.44,1,4,5
245,2950000,2.45,2,2,4
246,2960000,2.46,1,3,4
247,2970000,2.47,0,1,1
248,2980000,2.48,1,3,4
249,2990000,2.49,0,3,3
250,3000000,2.5,0,4,4
251,3010000,2.5100000000000002,1,2,3
252,3020000,2.52,2,4,6
253,3030000,2.5300000000000002,0,5,5
254,3040000,2.54,1,2,3
255,3050000,2.5500000000000003,0,4,4
256,3060000,2.56,0,3,3
257,3070000,2.57,0,3,3
258,3080000,2.58,0,2,2
259,3090000,2.59,1,2,3
260,3100000,2.6,0,3,3
261,3110000,2.61,1,4,5
262,3120000,2.62,0,4,4
263,3130000,2.63,2,2,4
264,3140000,2.64,0,2,2
265,3150000,2.65,1,1,2
266,3160000,2.66,0,3,3
267,3170000,2.67,2,3,5
268,3180000,2.68,1,3,4
269,3190000,2.69,1,3,4
270,3200000,2.7,2,2,4
271,3210000,2.71,1,2,3
272,3220000,2.72,0,4,4
273,3230000,2.73,2,5,7
274,3240000,2.74,2,3,5
275,3250000,2.75,2,3,5
276,3260000,2.7600000000000002,1,3,4
277,3270000,2.77,1,3,4
278,3280000,2.7800000000000002,2,4,6
279,3290000,2.79,1,4,5
280,3300000,2.8000000000000003,2,3,5
281,3310000,2.81,0,5,5
282,3320000,2.82,2,2,4
283,3330000,2.83,1,3,4
284,3340000,2.84,1,2,3
285,3350000,2.85,1,3,4
