frame,step,time_ns,n_shell1,n_shell2
221,2710000,2.21,12,32
222,2720000,2.22,17,26
223,2730000,2.23,10,30
224,2740000,2.24,10,29
225,2750000,2.25,10,29
226,2760000,2.2600000000000002,9,29
227,2770000,2.27,13,25
228,2780000,2.2800000000000002,12,32
229,2790000,2.29,17,24
230,2800000,2.3000000000000003,13,30
231,2810000,2.31,16,23
232,2820000,2.32,16,25
233,2830000,2.33,12,27
234,2840000,2.34,14,25
235,2850000,2.35,12,25
236,2860000,2.36,11,26
237,2870000,2.37,11,32
238,2880000,2.38,10,23
239,2890000,2.39,12,31
240,2900000,2.4,13,25
241,2910000,2.41,14,26
242,2920000,2.42,14,28
243,2930000,2.43,16,28
244,2940000,2.44,16,24
245,2950000,2.45,16,24
246,2960000,2.46,17,23
247,2970000,2.47,15,22
248,2980000,2.48,12,29
249,2990000,2.49,12,30
250,3000000,2.5,15,24
251,3010000,2.5100000000000002,10,32
252,3020000,2.52,17,25
253,3030000,2.5300000000000002,13,25
254,3040000,2.54,14,28
255,3050000,2.5500000000000003,16,25
256,3060000,2.56,9,31
257,3070000,2.57,13,28
258,3080000,2.58,10,26
259,3090000,2.59,17,27
260,3100000,2.6,11,30
261,3110000,2.61,15,24
262,3120000,2.62,7,39
263,3130000,2.63,12,29
264,3140000,2.64,14,28
265,3150000,2.65,15,26
266,3160000,2.66,16,28
267,3170000,2.67,11,29
268,3180000,2.68,17,26
269,3190000,2.69,12,30
270,3200000,2.7,14,26
271,3210000,2.71,13,31
272,3220000,2.72,8,33
273,3230000,2.73,13,21
274,3240000,2.74,8,34
275,3250000,2.75,10,29
276,3260000,2.7600000000000002,11,28
277,3270000,2.77,10,31
278,3280000,2.7800000000000002,11,33
279,3290000,2.79,13,29
280,3300000,2.8000000000000003,14,28
281,3310000,2.81,14,25
282,3320000,2.82,12,27
283,3330000,2.83,19,20
284,3340000,2.84,15,28
285,3350000,2.85,10,32
286,3360000,2.86,14,25
287,3370000,2.87,12,28
288,3380000,2.88,11,33
289,3390000,2.89,13,26
290,3400000,2.9,16,26
291,3410000,2.91,10,31
292,3420000,2.92,13,25
293,3430000,2.93,13,27
294,3440000,2.94,11,32
295,3450000,2.95,14,25
296,3460000,2.96,9,30
297,3470000,2.97,13,27
298,3480000,2.98,11,28
299,3490000,2.99,11,34
300,3500000,3.0,15,23
301,3510000,3.0100000000000002,14,32
302,3520000,3.02,14,29
303,3530000,3.0300000000000002,13,28
304,3540000,3.04,10,30
305,3550000,3.0500000000000003,13,28
306,3560000,3.06,10,36
307,3570000,3.0700000000000003,14,26
308,3580000,3.08,11,31
309,3590000,3.09,12,28
310,3600000,3.1,13,28
311,3610000,3.11,13,28
312,3620000,3.12,12,31
313,3630000,3.13,13,29
314,3640000,3.14,18,25
315,3650000,3.15,13,34
316,3660000,3.16,12,31
317,3670000,3.17,17,26
318,3680000,3.18,14,28
319,3690000,3.19,11,32
320,3700000,3.2,19,24
321,3710000,3.21,12,27
322,3720000,3.22,8,38
323,3730000,3.23,14,28
324,3740000,3.24,13,30
325,3750000,3.25,14,31
326,3760000,3.2600000000000002,14,25
327,3770000,3.27,14,30
328,3780000,3.2800000000000002,18,21
329,3790000,3.29,17,26
330,3800000,3.3000000000000003,13,30
331,3810000,3.31,16,25
332,3820000,3.3200000000000003,17,22
333,3830000,3.33,11,33
334,3840000,3.34,14,31
335,3850000,3.35,15,30
336,3860000,3.36,17,25
337,3870000,3.37,10,31
338,3880000,3.38,15,27
339,3890000,3.39,18,19
340,3900000,3.4,14,25
341,3910000,3.41,14,27
342,3920000,3.42,14,27
343,3930000,3.43,17,28
344,3940000,3.44,15,28
345,3950000,3.45,13,32
346,3960000,3.46,16,22
347,3970000,3.47,12,30
348,3980000,3.48,11,32
349,3990000,3.49,17,24
350,4000000,3.5,13,27
351,4010000,3.5100000000000002,9,31
352,4020000,3.52,12,26
353,4030000,3.5300000000000002,11,34
354,4040000,3.54,11,35
355,4050000,3.5500000000000003,14,26
356,4060000,3.56,9,33
357,4070000,3.5700000000000003,16,27
358,4080000,3.58,15,25
359,4090000,3.59,12,31
360,4100000,3.6,16,28
361,4110000,3.61,11,33
362,4120000,3.62,15,25
363,4130000,3.63,11,28
364,4140000,3.64,12,29
365,4150000,3.65,12,34
366,4160000,3.66,13,30
367,4170000,3.67,14,28
368,4180000,3.68,14,26
369,4190000,3.69,15,26
370,4200000,3.7,15,31
371,4210000,3.71,12,31
372,4220000,3.72,12,33
373,4230000,3.73,10,31
374,4240000,3.74,11,33
375,4250000,3.75,10,28
376,4260000,3.7600000000000002,13,28
377,4270000,3.77,12,30
378,4280000,3.7800000000000002,16,22
379,4290000,3.79,10,32
380,4300000,3.8000000000000003,18,25
381,4310000,3.81,12,29
382,4320000,3.8200000000000003,15,24
383,4330000,3.83,12,28
384,4340000,3.84,14,28
385,4350000,3.85,13,28
386,4360000,3.86,11,27
387,4370000,3.87,11,29
388,4380000,3.88,12,32
389,4390000,3.89,10,33
390,4400000,3.9,11,27
391,4410000,3.91,10,30
392,4420000,3.92,13,30
393,4430000,3.93,15,27
394,4440000,3.94,13,22
395,4450000,3.95,15,23
396,4460000,3.96,16,22
397,4470000,3.97,10,33
398,4480000,3.98,15,23
399,4490000,3.99,10,31
400,4500000,4.0,9,33
401,4510000,4.01,14,26
402,4520000,4.0200000000000005,12,28
403,4530000,4.03,13,26
404,4540000,4.04,13,30
405,4550000,4.05,14,29
406,4560000,4.0600000000000005,11,29
407,4570000,4.07,13,30
408,4580000,4.08,14,27
409,4590000,4.09,17,24
410,4600000,4.1,10,28
411,4610000,4.11,13,32
412,4620000,4.12,11,29
413,4630000,4.13,15,25
414,4640000,4.14,14,26
415,4650000,4.15,13,22
416,4660000,4.16,11,35
417,4670000,4.17,12,29
418,4680000,4.18,9,36
419,4690000,4.19,9,31
420,4700000,4.2,14,27
421,4710000,4.21,12,32
422,4720000,4.22,10,33
423,4730000,4.23,12,28
424,4740000,4.24,13,26
425,4750000,4.25,16,25
426,4760000,4.26,9,30
427,4770000,4.2700000000000005,12,31
428,4780000,4.28,14,28
429,4790000,4.29,12,29
430,4800000,4.3,12,31
431,4810000,4.3100000000000005,13,28
432,4820000,4.32,16,24
433,4830000,4.33,15,24
434,4840000,4.34,11,29
435,4850000,4.3500000000000005,11,29
436,4860000,4.36,14,27
437,4870000,4.37,9,31
