lag_frame,lag_ps,acf_phi_npbc,acf_phi_pbc,acf_psi_npbc,acf_psi_pbc
0,0.0,1.0,1.0,1.0,1.0
1,10.0,0.9460184098775979,0.9459235771194613,0.9428993200559178,0.942580518599512
2,20.0,0.9347030215430377,0.9331249752761047,0.9251815573025925,0.925412722790668
3,30.0,0.923402547926277,0.9243940823265987,0.9102549629471905,0.9113832052446442
4,40.0,0.9169296368371423,0.9169549146478077,0.8991098961243297,0.8987143887175653
5,50.0,0.9088259687890482,0.9099603238437263,0.8881682056355782,0.8859569023958513
6,60.0,0.9011211602142364,0.9041858478051855,0.8778604852957254,0.875326853045833
7,70.0,0.8944628626407739,0.8991503048072692,0.8688766356768198,0.8639587913393528
8,80.0,0.8883321535853036,0.8948494799040982,0.8610130907396063,0.8547816851590728
9,90.0,0.8839974922959873,0.8912851224486349,0.8540671433720589,0.8449959933257631
10,100.0,0.8793183189961301,0.887222857722131,0.8466269920440522,0.834864249026977
11,110.0,0.874530153843613,0.8824373583574051,0.8409069827314984,0.8258159448566326
12,120.0,0.871042098913526,0.8786704612812577,0.835457445515321,0.8174382751305402
13,130.0,0.8671146444760884,0.8755431403231505,0.8294444202344111,0.8084477954247896
14,140.0,0.8643945459100632,0.8711818882837323,0.8238330031107377,0.8018062477585778
15,150.0,0.8617452348279252,0.8679484981673524,0.8188909601910735,0.7937951890070117
16,160.0,0.8590718057973957,0.8661762969489828,0.8134499163005576,0.7867084946439687
17,170.0,0.8566943316972176,0.8620184348634441,0.8089312589635301,0.7797177768575734
18,180.0,0.8521789774078863,0.8596119354033864,0.8023164784115062,0.7724131918040756
19,190.0,0.850936924880951,0.8561355868233962,0.7965102270644355,0.7647848812904021
20,200.0,0.8495873035013509,0.8531477574793305,0.7897604034442234,0.7582638293175824
21,210.0,0.847665241881596,0.8504178224284726,0.7846079440438296,0.7514129688999455
22,220.0,0.8442620438651309,0.8474501322180545,0.7792321309262721,0.7447056790708576
23,230.0,0.8412842128006973,0.8469318977795813,0.7758167952984386,0.7371326392584252
24,240.0,0.8394751828281519,0.8443138812692266,0.7701399405468856,0.7316471188217033
25,250.0,0.8369846219029904,0.8429427987514586,0.7666574283390138,0.7265318528669229
26,260.0,0.8354605186792099,0.8407697086450121,0.7631737995222041,0.7218130988961099
27,270.0,0.8337706809271661,0.8406092741728344,0.7585424867290481,0.716432970276787
28,280.0,0.8330191048333174,0.8387837465752919,0.7542948956707204,0.7112421262447299
29,290.0,0.8316279088038305,0.8364661588154504,0.7488132100820629,0.7055786582144046
30,300.0,0.8312656899660366,0.8348783716732342,0.744478714996087,0.7004569917193686
31,310.0,0.8288335696489135,0.8343758153508519,0.7392001420449397,0.6957955234344597
32,320.0,0.8284228653547203,0.8322291371079573,0.7355362936301628,0.6902221823499389
